Registration No,Product Name,Registration No (verified),Holder,Holder Address,Phone No,Manufacturer,Manufacturer Address
MAL19872269AZ,CHLORITON TABLET 4MG,MAL19872269AZ,TERAPUTICS SDN BHD,"LOT 10 & 11, PERDA INDUSTRIAL PARK LORONG IKS SIMPANG AMPAT B, 14100 SIMPANG AMPAT MALAYSIA",04-5880519,TERAPUTICS SDN BHD,"LOT 10 & 11, PERDA INDUSTRIAL PARK LORONG IKS SIMPANG AMPAT B 14100 SIMPANG AMPAT MALAYSIA"
MAL19880163AZ,AXCEL CHLORPHENIRAMINE TABLET,MAL19880163AZ,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL19880168AZ,TRIOSOLONE TABLET 5MG,MAL19880168AZ,TERAPUTICS SDN BHD,"LOT 10 & 11, PERDA INDUSTRIAL PARK LORONG IKS SIMPANG AMPAT B, 14100 SIMPANG AMPAT MALAYSIA",04-5880519,TERAPUTICS SDN BHD,"LOT 10 & 11, PERDA INDUSTRIAL PARK LORONG IKS SIMPANG AMPAT B 14100 SIMPANG AMPAT MALAYSIA"
MAL19880212AZ,BUTALINE SYRUP 1.5MG/5ML,MAL19880212AZ,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2, 4, 6, 8 & 10, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL19880308AZ,PONTACID CAPSULE 250MG,MAL19880308AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL19890080AZ,BRITALINE TABLET 2.5MG,MAL19890080AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL19890082AZ,PONTACID FORTE TABLET,MAL19890082AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL19890140AZ,AXCEL DEXCHLORPHENIRAMINE TABLET,MAL19890140AZ,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL19890164AZ,ACTIMIN TABLET,MAL19890164AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL19890222ACZ,FULVICIDE TABLET 500MG,MAL19890222ACZ,ZONTRON PHARMACEUTICALS SDN. BHD.,"LOT 10 & 11, PERDA INDUSTRIAL PARK LORONG IKS SIMPANG AMPAT B 14100 SIMPANG AMPAT MALAYSIA",045880519,TERAPUTICS SDN BHD,"LOT 10 & 11, PERDA INDUSTRIAL PARK LORONG IKS SIMPANG AMPAT B 14100 SIMPANG AMPAT MALAYSIA"
MAL19890246AZ,BETAMOX GRANULE 125MG/5ML,MAL19890246AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL19890247AZ,BETAMOX GRANULES 250MG/5ML,MAL19890247AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL19890266ACZ,DEXIN TABLET 0.5MG,MAL19890266ACZ,ZONTRON PHARMACEUTICALS SDN. BHD.,"LOT 10 & 11, PERDA INDUSTRIAL PARK LORONG IKS SIMPANG AMPAT B 14100 SIMPANG AMPAT MALAYSIA",045880519,TERAPUTICS SDN BHD,"LOT 10 & 11, PERDA INDUSTRIAL PARK LORONG IKS SIMPANG AMPAT B 14100 SIMPANG AMPAT MALAYSIA"
MAL19890329AZ,BETAMOX CAPSULE 250MG,MAL19890329AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL19890330AZ,BETAMOX CAPSULE 500MG,MAL19890330AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL19890370AZ,DHACOPAN TABLET 10MG,MAL19890370AZ,DCH AURIGA (MALAYSIA) SDN. BHD.,"LOT 6, PERSIARAN PERUSAHAAN, SEKSYEN 23, 40300 SHAH ALAM MALAYSIA",03-55417748,PT Actavis Indonesia,"JL. RAYA BOGOR KM. 28, KELURAHAN PEKAYON, KECAMATAN PASAR REBO, KOTA JAKARTA TIMUR, PROVINSI DKI JAKARTA, INDONESIA"
MAL19890378AZ,DHASOLONE TABLET 5MG,MAL19890378AZ,DCH AURIGA (MALAYSIA) SDN. BHD.,"LOT 6, PERSIARAN PERUSAHAAN, SEKSYEN 23, 40300 SHAH ALAM MALAYSIA",03-55417748,PT Actavis Indonesia,"JL. RAYA BOGOR KM. 28, KELURAHAN PEKAYON, KECAMATAN PASAR REBO, KOTA JAKARTA TIMUR, PROVINSI DKI JAKARTA, INDONESIA"
MAL19890514AZ,AXCEL BETAMETHASONE CREAM,MAL19890514AZ,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL19890539AZ,CLOPIXOL DROPS 20MG/ML,MAL19890539AZ,Lundbeck Malaysia Sdn. Bhd.,"A-05-01, OASIS SQUARE, JALAN PJU 1A/7A, ARA DAMANSARA, 47301 PETALING JAYA MALAYSIA",03-7831 3060,H. LUNDBECK A/S,OTTILIAVEJ 9 DK - 2500 VALBY DENMARK
MAL19890541AZ,CLOPIXOL DEPOT INJ 200MG/ML (1ML AMP),MAL19890541AZ,Lundbeck Malaysia Sdn. Bhd.,"A-05-01, OASIS SQUARE, JALAN PJU 1A/7A, ARA DAMANSARA, 47301 PETALING JAYA MALAYSIA",03-7831 3060,H. LUNDBECK A/S,OTTILIAVEJ 9 DK - 2500 VALBY DENMARK
MAL19890545AZ,FLUANXOL DEPOT INJ 20MG/ML (1ML),MAL19890545AZ,Lundbeck Malaysia Sdn. Bhd.,"A-05-01, OASIS SQUARE, JALAN PJU 1A/7A, ARA DAMANSARA, 47301 PETALING JAYA MALAYSIA",03-7831 3060,H. LUNDBECK A/S,OTTILIAVEJ 9 DK - 2500 VALBY DENMARK
MAL19890565ARZ,MINIRIN INJECTION 4MCG/ML,MAL19890565ARZ,Ferring Sdn. Bhd.,"21-6, BLOCK B JAYA ONE, NO. 72A, JALAN PROFESOR DIRAJA UNGKU AZIZ, 46200 PETALING JAYA MALAYSIA",0379603032,FERRING GMBH,"WITTLAND 11, PO BOX 21 45, D-24109 KIEL, GERMANY GERMANY"
MAL19890600AZ,AXCEL HYDROCORTISONE CREAM,MAL19890600AZ,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL19890622AZ,DECAN INJECTION 2MG,MAL19890622AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,"YUNG SHIN PHARMACEUTICAL IND. CO., LTD.","TAICHUNG YOUTH FACTORY, NO. 27, KUNG CHIU RD., TACHIA TAICHUNG TAIWAN"
MAL19890638AZ,VOREN INJECTION,MAL19890638AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,YUNG SHIN PHARM INDUSTRIAL CO LTD Taichung Youth Factory,"NO.27, KUNG CHIU ROAD, TACHIA, TAICHUNG TAIWAN"
MAL19890643AZ,Betasone Actavis Cream 0.1%w/w,MAL19890643AZ,DCH AURIGA (MALAYSIA) SDN. BHD.,"LOT 6, PERSIARAN PERUSAHAAN, SEKSYEN 23, 40300 SHAH ALAM MALAYSIA",03-55417748,PT Actavis Indonesia,"JL. RAYA BOGOR KM. 28, KELURAHAN PEKAYON, KECAMATAN PASAR REBO, KOTA JAKARTA TIMUR, PROVINSI DKI JAKARTA, INDONESIA"
MAL19890670AZ,RASITOL INJECTION 20MG/2ML (AMP),MAL19890670AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,"Yung Shin Pharmaceutical Ind. CO., Ltd. (Taichung Youth Factory)","NO. 27, KUNG CHIU RD., TACHIA,TAICHUNG TAIWAN TAIWAN"
MAL19890671AZ,SHINCORT INJECTION 10MG,MAL19890671AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,"YUNG SHIN PHARM. IND. CO., LTD","TAICHUNG YOUTH FACTORY, NO. 27, KUNG CHIU RD., TACHIA, TAICHUNG, TAIWAN"
MAL19890672AZ,Shincort Injection 40mg/mL (1mL Amp),MAL19890672AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,"YUNG SHIN PHARM. IND. CO., LTD","TAICHUNG YOUTH FACTORY, NO. 27, KUNG CHIU RD., TACHIA, TAICHUNG, TAIWAN"
MAL19890682AZ,ANARGIL CAPSULES 100MG,MAL19890682AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,MEDOCHEMIE LTD (CENTRAL FACTORY),"1-10 CONSTANTINOUPOLEOS STREET, 3011, LIMASSOL, CYPRUS"
MAL19900020AZ,ULCERAN TABLET 20MG,MAL19900020AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,MEDOCHEMIE LTD (CENTRAL FACTORY),"1-10 CONSTANTINOUPOLEOS STREET, 3011, LIMASSOL, CYPRUS"
MAL19900021AZ,ULCERAN TABLET 40MG,MAL19900021AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,MEDOCHEMIE LTD (CENTRAL FACTORY),"1-10 CONSTANTINOUPOLEOS STREET, 3011, LIMASSOL, CYPRUS"
MAL19900029AZ,AXCEL SALBUTAMOL-2 TABLET,MAL19900029AZ,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL19900030AZ,AXCEL SALBUTAMOL-4 TABLET,MAL19900030AZ,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL19900055AZ,ALLERSINE EYE DROPS,MAL19900055AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL19900076AZ,YSP Amoxicillin Capsules 500mg,MAL19900076AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,"YUNG SHIN PHARMACEUTICAL IND. CO., LTD.","TAICHUNG YOUTH FACTORY III, NO.26, KUNG LIU RD., TACHIA, TAICHUNG, TAIWAN, R.O.C TAIWAN"
MAL19900182AZ,PRETENOL C 50 TABLET,MAL19900182AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL19900183AZ,PRETENOL C 100 TABLET,MAL19900183AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL19900184AZ,MODURIDE TABLET,MAL19900184AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL19900254AZ,BECARIN CREAM 2%,MAL19900254AZ,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2, 4, 6, 8 & 10, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL19900255AZ,AXCEL MICONAZOLE CREAM,MAL19900255AZ,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL19900274ACZ,FUNGICIDE CREAM 2%W/W,MAL19900274ACZ,ZONTRON PHARMACEUTICALS SDN. BHD.,"LOT 10 & 11, PERDA INDUSTRIAL PARK LORONG IKS SIMPANG AMPAT B 14100 SIMPANG AMPAT MALAYSIA",045880519,TERAPUTICS SDN BHD,"LOT 10 & 11, PERDA INDUSTRIAL PARK LORONG IKS SIMPANG AMPAT B 14100 SIMPANG AMPAT MALAYSIA"
MAL19900279XCZ,CANDINIL CREAM 1%W/W,MAL19900279XCZ,ZONTRON PHARMACEUTICALS SDN. BHD.,"LOT 10 & 11, PERDA INDUSTRIAL PARK LORONG IKS SIMPANG AMPAT B 14100 SIMPANG AMPAT MALAYSIA",045880519,TERAPUTICS SDN BHD,"LOT 10 & 11, PERDA INDUSTRIAL PARK LORONG IKS SIMPANG AMPAT B 14100 SIMPANG AMPAT MALAYSIA"
MAL19900375AZ,CEPHALEXIN GRANULES FOR ORAL SUSPENSION ‘MPI’ 125mg/5ml,MAL19900375AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,"PLOT 14, LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA",04-6434462,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,PLOT 14 LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA
MAL19900407AZ,GENTA-DEX EYE DROPS,MAL19900407AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL19900412AZ,TRIDIN-P SYRUP,MAL19900412AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,"PLOT 14, LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA",04-6434462,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,PLOT 14 LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA
MAL19900415AZ,N/A,N/A,N/A,N/A,N/A,PT. SIMEX PHARMACEUTICAL INDONESIA,"JL. PELABUHAN II KM. 9 PASIR MALANG CISAAT - SUKABUMI JAWA BARAT, INDONESIA"
MAL19900461AZ,IPOLIPID CAPSULES 300MG,MAL19900461AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,MEDOCHEMIE LTD,"2, MICHAEL ERAKLEOUS STREET, AGIOS ATHANASSIOS INDUSTRIAL AREA, AGIOS ATHANASSIOS, LIMASSOL, 4101 CYPRUS"
MAL19900462AZ,MABRON CAPSULES 50MG,MAL19900462AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,MEDOCHEMIE LTD,"2, MICHAEL ERAKLEOUS STREET, AGIOS ATHANASSIOS INDUSTRIAL AREA, AGIOS ATHANASSIOS, LIMASSOL, 4101 CYPRUS"
MAL19900491AZ,ALMIRAL 100MG SUPPOSITORIES,MAL19900491AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,MEDOCHEMIE LTD (COGOLS FACILITY),"1-10 CONSTANTINOUPOLEOS STREET, 3011 LIMASSOL, CYPRUS"
MAL19900497AZ,INFLAFEN TABLETS 200MG,MAL19900497AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,"PLOT 14, LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA",04-6434462,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,PLOT 14 LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA
MAL19900500AZ,CARBIMIN TABLETS 4MG,MAL19900500AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,"PLOT 14, LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA",04-6434462,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,PLOT 14 LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA
MAL19900509AZ,TRANPAM TABLET 0.5MG,MAL19900509AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,"PLOT 14, LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA",04-6434462,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,PLOT 14 LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA
MAL19900510AZ,TRANPAM TABLET 1MG,MAL19900510AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,"PLOT 14, LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA",04-6434462,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,PLOT 14 LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA
MAL19900511AZ,NITRAPAM TABLETS 5MG,MAL19900511AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,"PLOT 14, LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA",04-6434462,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,PLOT 14 LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA
MAL19900523AZ,VASCOTEN TABLETS 100MG,MAL19900523AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,MEDOCHEMIE LTD (CENTRAL FACTORY),"1-10 CONSTANTINOUPOLEOS STREET, 3011, LIMASSOL, CYPRUS"
MAL19900530AZ,DEFUNGO 0.1G (VAGINAL TABLET),MAL19900530AZ,SPG PHARMA (MALAYSIA) SDN BHD,"SUITE 1701, BLOCK A DAMANSARA INTAN E-BUSINESS PARK NO.1, JALAN SS20/27 47400 PETALING JAYA MALAYSIA",03-77331702,SIAM BHEASACH CO LTD,"123 SOI CHOKECHAIRUAMMITR, VIBHAVADI-RANGSIT ROAD, CHOMPHON, CHATUCHAK, BANGKOK 10900 AND 9 SOI CHOKECHAIRUAMMITR 3, VIBHAVADI-RANGSIT ROAD, DINDANG, DINDANG, BANGKOK 10400, THAILAND"
MAL19900592AZ,PHENEXPECT SYRUP,MAL19900592AZ,DCH AURIGA (MALAYSIA) SDN. BHD.,"LOT 6, PERSIARAN PERUSAHAAN, SEKSYEN 23, 40300 SHAH ALAM MALAYSIA",03-55417748,PT Actavis Indonesia,"JL. RAYA BOGOR KM. 28, KELURAHAN PEKAYON, KECAMATAN PASAR REBO, KOTA JAKARTA TIMUR, PROVINSI DKI JAKARTA, INDONESIA"
MAL19900593AZ,FEDAC SYRUP,MAL19900593AZ,DCH AURIGA (MALAYSIA) SDN. BHD.,"LOT 6, PERSIARAN PERUSAHAAN, SEKSYEN 23, 40300 SHAH ALAM MALAYSIA",03-55417748,PT Actavis Indonesia,"JL. RAYA BOGOR KM. 28, KELURAHAN PEKAYON, KECAMATAN PASAR REBO, KOTA JAKARTA TIMUR, PROVINSI DKI JAKARTA, INDONESIA"
MAL19900594AZ,FEDAC TABLET,MAL19900594AZ,DCH AURIGA (MALAYSIA) SDN. BHD.,"LOT 6, PERSIARAN PERUSAHAAN, SEKSYEN 23, 40300 SHAH ALAM MALAYSIA",03-55417748,PT Actavis Indonesia,"JL. RAYA BOGOR KM. 28, KELURAHAN PEKAYON, KECAMATAN PASAR REBO, KOTA JAKARTA TIMUR, PROVINSI DKI JAKARTA, INDONESIA"
MAL19900629AZ,VASCOTEN 50MG TABLET,MAL19900629AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,MEDOCHEMIE LTD (CENTRAL FACTORY),"1-10 CONSTANTINOUPOLEOS STREET, 3011, LIMASSOL, CYPRUS"
MAL19900635AZ,LEVOMED TABLET (250/25),MAL19900635AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,MEDOCHEMIE LTD,"ASTRONAFTON AND CONSTANTINOPEL STREET, 1-10,LIMASSOL, CYPRUS"
MAL19900636AZ,MEDOCRIPTINE 2.5MG TABLET,MAL19900636AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,MEDOCHEMIE LTD (CENTRAL FACTORY),"1-10 CONSTANTINOUPOLEOS STREET, 3011, LIMASSOL, CYPRUS"
MAL19900659AZ,CLOPIXOL-ACUPHASE INJ 50MG/ML (1ML),MAL19900659AZ,Lundbeck Malaysia Sdn. Bhd.,"A-05-01, OASIS SQUARE, JALAN PJU 1A/7A, ARA DAMANSARA, 47301 PETALING JAYA MALAYSIA",03-7831 3060,H. LUNDBECK A/S,OTTILIAVEJ 9 DK - 2500 VALBY DENMARK
MAL19910003AZ,CEPHALEXIN CAPSULES 'MPI' 250 MG,MAL19910003AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,"PLOT 14, LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA",04-6434462,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,PLOT 14 LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA
MAL19910006AZ,LICONATE TABLET 300MG,MAL19910006AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,"PLOT 14, LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA",04-6434462,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,PLOT 14 LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA
MAL19910031AZ,TRIDIN-P TABLETS,MAL19910031AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,"PLOT 14, LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA",04-6434462,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,PLOT 14 LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA
