Russian,English
"?????????? ??? ????????????? ???????? ??? ????????????? ? ??????????????????? ????????, 20 ??/??, 5 ?? - ?????? (10) - ????? ?????????","concentrate for the preparation of a solution for intravenous and intraarterial administration, 20 mg/ml, 5 ml - ampoules (10) - cardboard packs"
"??????? ??? ????????????? ? ?????????? ????????, 10 ???.??, 3 ??. - ?????-?????? (2) - ????? ?????????","Solution for intravenous and subcutaneous administration, 10 thousand IU, 3 pcs. - syringe tubes (2) - cardboard packs"
"??????? ??? ????????????? ? ?????????? ????????, 2 ???.??, 3 ??. - ?????-?????? (2) - ????? ?????????","Solution for intravenous and subcutaneous administration, 2 thousand IU, 3 pcs. - syringe tubes (2) - cardboard packs"
"??????? ??? ????????????? ? ?????????? ????????, 30 ???.??, 1 ??. - ?????-?????? (1) - ????? ?????????","Solution for intravenous and subcutaneous administration, 30 thousand IU, 1 pc. - syringe-tubes (1) - cardboard packs"
"?????????? ??? ????????????? ???????? ??? ????????, 20 ??/??, 5 ?? - ?????????? ?????? (10) - ????? ?????????","concentrate for preparation of injection solution, 20 mg/ml, 5 ml - glass ampoule (10) - cardboard pack"
"??????? ??? ????????????? ? ??????????????? ????????, 2 ??/??, 2 ?? - ?????????? ?????? (10) - ????? ?????????","solution for intravenous and intramuscular administration, 2 mg/ml, 2 ml - glass ampoule (10) - cardboard pack"
"??????? ??? ????????????? ? ?????????? ????????, 30 ???.??, 0.6 ?? - ?????-?????? (1) / ???????? ????????? ????????? /? ????????? ? ?????? ?????????????/ / - ????? ?????????","solution for intravenous and subcutaneous administration, 30 thousand IU, 0.6 ml - syringe tubes (1) / blister packs / complete with injection needles / / - cardboard packs"
"??????? ??? ????????????? ? ?????????? ????????, 10 ???.??, 0.6 ?? - ?????-?????? (3) / ???????? ????????? ????????? (2) /? ????????? ? ?????? ?????????????/ / - ????? ?????????","solution for intravenous and subcutaneous administration, 10 thousand IU, 0.6 ml - syringe tubes (3) / blister packs (2) / complete with injection needles / - cardboard packs"
"??????? ??? ????????????? ? ?????????? ????????, 2 ???.??, 0.3 ?? - ?????-?????? (3) / ???????? ????????? ????????? (2) /? ????????? ? ?????? ?????????????/ / - ????? ?????????","solution for intravenous and subcutaneous administration, 2 thousand IU, 0.3 ml - syringe tubes (3) / blister packs (2) / complete with injection needles / - cardboard packs"
"??????? ??? ????????????? ????????, 400 ??/??, 10 ?? - ?????? (10) - ????? ?????????","solution for intravenous administration, 400 mg/ml, 10 ml - ampoules (10) - cardboard packs"
"??????? ??? ????????????? ????????, 400 ??/??, 10 ?? - ?????? (10) - ???????? ????????? ??????????? (???????) - ????? ?????????","solution for intravenous administration, 400 mg/ml, 10 ml - ampoules (10) - plastic strip packaging (trays) - cardboard packs"
"??????? ??? ????????????? ? ?????????? ????????, 10 ???.??, 1 ?? - ?????? (3) - ???????? ????????? ????????? (2) - ????? ?????????","solution for intravenous and subcutaneous administration, 10 thousand IU, 1 ml - syringes (3) - blister packs (2) - cardboard packs"
"??????? ??? ????????????? ????????, 400 ??/??, 10 ?? - ?????????? ?????? (10) - ????? ?????????","solution for intravenous administration, 400 mg/ml, 10 ml - glass ampoule (10) - cardboard pack"
"??????? ??? ????????????? ? ??????????????? ????????, 50??/??, 2 ?? - ?????? (10) - ???????? ????????? ??????????? (???????) - ????? ?????????","Solution for intravenous and intramuscular administration, 50 mg/ml, 2 ml - ampoules (10) - plastic contour packaging (trays) - cardboard packs"
"??????? ??? ????????????? ????????, 250 ??/??, 10 ?? - ?????? (1) - ????? ?????????","solution for intravenous administration, 250 mg/ml, 10 ml - ampoules (1) - cardboard packs"
"??????? ??? ????????????? ????????, 250 ??/??, 10 ?? - ?????? (10) - ???????? ????????? ??????????? (???????) - ????? ?????????","solution for intravenous administration, 250 mg/ml, 10 ml - ampoules (10) - plastic strip packaging (trays) - cardboard packs"
"??????? ??? ????????????? ????????, 250 ??/??, 5 ?? - ?????? (10) - ????? ?????????","solution for intravenous administration, 250 mg/ml, 5 ml - ampoules (10) - cardboard packs"
"??????? ??? ????????????? ????????, 250 ??/??, 5 ?? - ?????? (10) - ???????? ????????? ??????????? (???????) - ????? ?????????","solution for intravenous administration, 250 mg/ml, 5 ml - ampoules (10) - plastic strip packaging (trays) - cardboard packs"
"??????? ??? ????????????? ????????, 250 ??/??, 5 ?? - ?????????? ?????? (10) - ????? ?????????","solution for intravenous administration, 250 mg/ml, 5 ml - glass ampoule (10) - cardboard pack"
"??????? ??? ????????????? ????????, 250 ??/??, 10 ?? - ?????????? ?????? (10) - ????? ?????????","solution for intravenous administration, 250 mg/ml, 10 ml - glass ampoule (10) - cardboard pack"
"????? ???????, 0.5%, 5 ?? - ??????? (1) - ????? ?????????","eye drops, 0.5%, 5 ml - bottles (1) - cardboard packs"
"????? ???????, 0.5%, 5 ?? - ??????? (1) / ? ????????? ? ???????-??????????? / - ????? ?????????","eye drops, 0.5%, 5 ml - bottles (1) / complete with a dropper cap / - cardboard packs"
"??????? ??? ????????????? ???????? ??? ????????????? ? ??????????????? ????????, 1 ?, 10 ?? - ??????? (50) - ??????? ?????????","powder for solution for intravenous and intramuscular administration, 1 g, 10 ml - vials (50) - cardboard boxes"
"???????????? ??? ????????????? ????????????? ???? ??? ????????, 0.9%, 10 ?? - ?????? (10) - ????? ?????????","solvent for the preparation of dosage forms for injection, 0.9%, 10 ml - ampoules (10) - cardboard packs"
"????? 5 ??|5 ??, 120 ?? - ??????? ??????? ?????? /? ????????? ? ?????? ????????????/ - ????? ?????????","Syrup 5 mg|5 ml, 120 ml - dark glass bottles /complete with a dosing spoon/ - cardboard packs"
"??????? 200 ??, 10 ??. - ???????? ????????? ????????? (3) - ????? ?????????","200 mg capsules, 10 pcs. - blister packs (3) - cardboard packs"
"??????? 200 ??, 10 ??. - ???????? ????????? ????????? (6) - ????? ?????????","200 mg capsules, 10 pcs. - blister packs (6) - cardboard packs"
"???????? ???????? ????????? ????????? 5 ??, 14 ??. - ???????? ????????? ????????? - ????? ?????????","Film-coated tablets 5 mg, 14 pcs. - blister packs - cardboard packs"
"???????? ???????? ????????? ????????? 5 ??, 14 ??. - ???????? ????????? ????????? (2) - ????? ?????????","Film-coated tablets 5 mg, 14 pcs. - blister packs (2) - cardboard packs"
"???????? ???????? ????????? ?????????, 5 ??, 1 ??. - ???????? ????????? ????????? (14) - ????? ?????????","Film-coated tablets, 5 mg, 1 pc. - blister packs (14) - cardboard packs"
"???????? ???????? ????????? ?????????, 5 ??, 2 ??. - ???????? ????????? ????????? (14) - ????? ?????????","Film-coated tablets, 5 mg, 2 pcs. - blister packs (14) - cardboard packs"
"?????, 5 ??/5 ??, 120 ?? - ??????? ??????? ?????? (1) - ????? ?????????","syrup, 5 mg/5 ml, 120 ml - dark glass bottles (1) - cardboard packs"
"???????? ? ???????????????? ?????????????? 150 ??, 10 ??. - ???????? ????????? ????????? (3) - ????? ?????????","150 mg modified-release tablets, 10 pcs. - blister packs (3) - cardboard packs"
"???????? ? ???????????????? ??????????????, 150 ??, 10 ??. - ????????? ???????? ???????? (3) - ????? ?????????","modified-release tablets, 150 mg, 10 pcs. - blister pack (3) - cardboard packs"
"???????? ???????? ????????? ?????????, 5 ??, 14 ??. - ???????? ????????? ????????? (1) - ????? ?????????","film-coated tablets, 5 mg, 14 pcs. - blister packs (1) - cardboard packs"
"???????? ???????? ????????? ?????????, 5 ??, 14 ??. - ???????? ????????? ????????? (2) - ????? ?????????","film-coated tablets, 5 mg, 14 pcs. - blister packs (2) - cardboard packs"
"?????, 5 ??|5 ??, 120 ?? - ??????? ??????? ?????? (1) / ? ????????? ? ?????? ?????? / - ????? ?????????","syrup, 5 mg|5 ml, 120 ml - dark glass bottles (1) / complete with a measuring spoon / - cardboard packs"
"?????, 5 ??/5 ??, 120 ?? - ?????? ??????? ?????? (1) / ? ????????? ? ?????? ?????? / - ????? ?????????","syrup, 5 mg/5 ml, 120 ml - dark glass bottle (1) / complete with a measuring spoon / - cardboard packs"
"??????? ??? ?????????? ????????, 120 ?? (70 ??/??), 1.7 ?? - ??????? (1) - ???????? ????????? ????????? - ????? ?????????","solution for subcutaneous administration, 120 mg (70 mg/ml), 1.7 ml - vials (1) - blister packs - cardboard packs"
"???????, 25 ??, 7 ??. - ????????? ????????? ???????? (3) - ????? ?????????","capsules, 25 mg, 7 pcs. - blister pack (3) - cardboard packs"
"???????, 25 ??, 21 ??. - ?????? (1) - ????? ?????????","capsules, 25 mg, 21 pcs. - bottle (1) - cardboard packs"
"???????, 10 ??, 21 ??. - ??????? (1) - ????? ?????????","capsules, 10 mg, 21 pcs. - vials (1) - cardboard packs"
"???????, 15 ??, 21 ??. - ??????? (1) - ????? ?????????","capsules, 15 mg, 21 pcs. - vials (1) - cardboard packs"
"???????, 5 ??, 21 ??. - ??????? (1) - ????? ?????????","capsules, 5 mg, 21 pcs. - vials (1) - cardboard packs"
"???????, 10 ??, 7 ??. - ???????? ????????? ????????? (3) - ????? ?????????","capsules, 10 mg, 7 pcs. - blister packs (3) - cardboard packs"
"???????, 5 ??, 7 ??. - ???????? ????????? ????????? (3) - ????? ?????????","capsules, 5 mg, 7 pcs. - blister packs (3) - cardboard packs"
"???????, 15 ??, 7 ??. - ???????? ????????? ????????? (3) - ????? ?????????","capsules, 15 mg, 7 pcs. - blister packs (3) - cardboard packs"
"???????? 5 ??, 10 ??. - ???????? ????????? ????????? - ????? ?????????","5 mg tablets, 10 pcs. - blister packs - cardboard packs"
"????????, 5 ??, 10 ??. - ???????? ????????? ????????? (1) - ????? ?????????","tablets, 5 mg, 10 pcs. - blister packs (1) - cardboard packs"
"??????? ??? ????????????? ? ??????????????????? ????????, 20 ??/??, 5 ?? - ?????? (5) - ????????? ????????? ???????? (2) - ????? ?????????","solution for intravenous and intra-arterial administration, 20 mg/ml, 5 ml - ampoules (5) - cassette strip packaging (2) - cardboard packs"
"??????? ??? ????????????? ? ??????????????????? ????????, 20 ??/??, 5 ?? - ?????? (10) - ????? ?????????","solution for intravenous and intra-arterial administration, 20 mg/ml, 5 ml - ampoules (10) - cardboard packs"
"??????? ??? ????????, 20 ??/??, 2 ?? - ?????? (10) / ? ????????? ? ????? ????????? ??? ??????????????, ???? ????????? ??? ????? ??????? ???? / - ????? ?????????","injection solution, 20 mg/ml, 2 ml - ampoules (10) / complete with an ampoule knife or scarifier, if necessary for this type of ampoules / - cardboard packs"
"?????????? ??? ????????????? ???????? ??? ??????????????? ???????? ? ?????????, 1000 ??, - ?????? (10) / ? ????????? ? ????? ????????? ??? ??????????????, ???? ????????? ??? ????? ??????? ???? / - ????? ??????????","lyophilisate for the preparation of a solution for intranasal administration and inhalation, 1000 IU, - ampoules (10) / complete with an ampoule knife or scarifier, if necessary for ampoules of this type / - cardboard packs"
"??????? ??? ????????, 5 ??/??, 5 ?? - ?????? (5) - ????????? ????????? ???????? (2) - ????? ?????????","injection solution, 5 mg/ml, 5 ml - ampoules (5) - cassette strip packaging (2) - cardboard packs"
"??????? ??? ????????, 5 ??/??, 5 ?? - ?????? (10) / ? ????????? ? ????? ????????? ??? ??????????????, ???? ????????? ??? ????? ??????? ???? / - ????? ?????????","injection solution, 5 mg/ml, 5 ml - ampoules (10) / complete with an ampoule knife or scarifier, if necessary for this type of ampoules / - cardboard packs"
"??????? ??? ????????, 5 ??/??, 5 ?? - ?????? (10) / ? ????????? ? ????? ????????? ??? ??????????????, ???? ????????? ??? ????? ??????? ???? / - ??????? ?????????","injection solution, 5 mg/ml, 5 ml - ampoules (10) / complete with an ampoule knife or scarifier, if necessary for this type of ampoules / - cardboard boxes"
"????????, 50 ??, 10 ??. - ???????? ????????????? ????????? (1) - ????? ?????????","tablets, 50 mg, 10 pcs. - cell-less blister packs (1) - cardboard packs"
"????????, 50 ??, 10 ??. - ???????? ????????????? ????????? (160) - ??????? ?????????","tablets, 50 mg, 10 pcs. - cell-less blister packs (160) - cardboard boxes"
"????????, 50 ??, 10 ??. - ???????? ????????? ????????? (400) - ??????? ?????????","tablets, 50 mg, 10 pcs. - blister packs (400) - cardboard boxes"
"????????, 50 ??, 10 ??. - ???????? ????????????? ????????? (150) - ??????? ?????????","tablets, 50 mg, 10 pcs. - cell-less blister packs (150) - cardboard boxes"
"????????, 50 ??, 10 ??. - ???????? ????????? ????????? - ????? ?????????","tablets, 50 mg, 10 pcs. - blister packs - cardboard packs"
"????????, 50 ??, 10 ??. - ???????? ????????????? ????????? (3) - ????? ?????????","tablets, 50 mg, 10 pcs. - cell-less blister packs (3) - cardboard packs"
"????????, 50 ??, 10 ??. - ???????? ????????????? ????????? (2) - ????? ?????????","tablets, 50 mg, 10 pcs. - cell-less blister packs (2) - cardboard packs"
"???????? 250 ??, 10 ??., ???????? ????????? ????????? (2) - ????? ?????????","250 mg tablets, 10 pcs., blister packs (2) - cardboard packs"
"???????? 100 ??, 10 ??. - ???????? ????????? ????????? ???/?????? (3) - ????? ?????????","100 mg tablets, 10 pcs. - PVC/paper blister packs (3) - cardboard packs"
"???????? 100 ??, 10 ??. - ???????? ????????? ????????? [??.??????/???] (3) - ????? ?????????","100 mg tablets, 10 pcs. - blister packs [alumina foil/PVC] (3) - cardboard packs"
"???????? 50 ??, 10 ??. - ???????? ????????? ????????? ???/?????? (3) - ????? ?????????","50 mg tablets, 10 pcs. - PVC/paper blister packs (3) - cardboard packs"
"???????? 50 ??, 10 ??. - ???????? ????????? ????????? [??.??????/???] (3) - ????? ?????????","50 mg tablets, 10 pcs. - blister packs [alumina foil/PVC] (3) - cardboard packs"
"????????, 100 ??, 10 ??. - ???????? ????????? ????????? ???/?????? (3) - ????? ?????????","tablets, 100 mg, 10 pcs. - PVC/paper blister packs (3) - cardboard packs"
"????????, 50 ??, 10 ??. - ???????? ????????? ????????? ???/?????? (3) - ????? ?????????","tablets, 50 mg, 10 pcs. - PVC/paper blister packs (3) - cardboard packs"
??????? ??? ????????????? ???????? ??? ????????????? ? ??????????????? ???????? 1 ? - ??????? (40) - ??????? ?????????,powder for solution for intravenous and intramuscular administration 1 g - vials (40) - cardboard boxes
"??????? ??? ????????????? ???????? ??? ????????????? ? ??????????????? ????????, 500 ??, - ??????? (40) - ??????? ?????????","powder for solution for intravenous and intramuscular administration, 500 mg, - vials (40) - cardboard boxes"
"???????? 0,05 ?, 10 ??. - ???????? ????????? ????????? (4) - ????? ?????????","tablets 0.05 g, 10 pcs. - blister packs (4) - cardboard packs"
"??????? ??? ????????????? ???????? ??? ????????????? ? ??????????????? ????????, 1000 ??, - ??????? (40) - ??????? ????????? (??? ???????????)","powder for solution for intravenous and intramuscular administration, 1000 mg, - vials (40) - cardboard boxes (for hospitals)"
"????????, 0.05 ?, 10 ??. - ???????? ????????? ????????? (4) - ????? ?????????","tablets, 0.05 g, 10 pcs. - blister packs (4) - cardboard packs"
"???????? ???????? ????????? ?????????, 875 ?? + 125 ??, 7 ??. - ?????? (2) - ????? ?????????","film-coated tablets, 875 mg + 125 mg, 7 pcs. - strips (2) - cardboard packs"
"???????? ???????? ????????? ?????????, 500 ??+125 ??, 7 ??. - ?????? (2) - ????? ?????????","film-coated tablets, 500 mg + 125 mg, 7 pcs. - strips (2) - cardboard packs"
"????????, 25 ??, 10 ??. - ???????? ????????? ????????? (4) - ????? ?????????","tablets, 25 mg, 10 pcs. - blister packs (4) - cardboard packs"
"????????, 25 ??, 10 ??. - ???????? ????????? ????????? (5) - ????? ?????????","tablets, 25 mg, 10 pcs. - blister packs (5) - cardboard packs"
"????????, 40 ??, 10 ??. - - ???????? ????????? ?????????","tablets, 40 mg, 10 pcs. - - blister packs"
"????????, 25 ??, 50 ??. - ????? ?????????? (1) - ????? ?????????","tablets, 25 mg, 50 pcs. - polymer jars (1) - cardboard packs"
"????????, 25 ??, 60 ??. - ????? ?????????? (1) - ????? ?????????","tablets, 25 mg, 60 pcs. - polymer jars (1) - cardboard packs"
"????????, 25 ??, 100 ??. - ????? ?????????? (1) - ????? ?????????","tablets, 25 mg, 100 pcs. - polymer jars (1) - cardboard packs"
"????????, 500 ??, 10 ??. - ???????? ????????????? ????????? (1) - ??????? ?????????","tablets, 500 mg, 10 pcs. - cell-less blister packs (1) - cardboard boxes"
"????????, 500 ??, 10 ??. - ???????? ????????? ????????? (1) - ??????? ?????????","tablets, 500 mg, 10 pcs. - blister packs (1) - cardboard boxes"
"????????, 100 ??, 10 ??. - ???????? ????????? ????????? [?????? ? ?????. ????/???] (3) - ????? ?????????","tablets, 100 mg, 10 pcs. - blister packs [paper with polymer coating/PVC] (3) - cardboard packs"
"????????, 100 ??, 40 ??. - ????? (1) - ????? ?????????","tablets, 100 mg, 40 pcs. - jars (1) - cardboard packs"
"???????? ???????? ?????????????????? ?????????, 25 ??, 50 ??. - ????? ?????????? (1) - ????? ?????????","enteric-coated tablets, 25 mg, 50 pcs. - polymer jars (1) - cardboard packs"
"???????? ???????? ?????????????????? ?????????, 25 ??, 10 ??. - ???????? ????????? ????????? (5) - ????? ?????????","Enteric-coated tablets, 25 mg, 10 pcs. - blister packs (5) - cardboard packs"
"????????, , 10 ??. - ???????? ????????? ????????? (5) - ????? ?????????","tablets, 10 pcs. - blister packs (5) - cardboard packs"
"????????, 10 ??. - ???????? ????????????? ????????? (1) - ??????? ?????????","tablets, 10 pcs. - cell-less blister packs (1) - cardboard boxes"
"??????? ??? ??????????????? ???????? [????????], 250 ??/??, 1 ?? - ?????? (1) - ????? ?????????","solution for intramuscular injection [oil], 250 mg/ml, 1 ml - ampoules (1) - cardboard packs"
"??????? ??? ???????, 3%, 500 ?? - ????? ??????????? ??????????? (15) - ??????? ?????????","Infusion solution, 3%, 500 ml - double-layer plastic bags (15) - cardboard boxes"
"???????? ??? ????????????? ????????, 10 ??/??, 20 ?? - ?????? (5) - ????? ?????????","emulsion for intravenous administration, 10 mg/ml, 20 ml - ampoules (5) - cardboard packs"
"???????? ??? ????????????? ????????, 10 ??/??, 50 ?? - ??????? (1) - ????? ?????????","emulsion for intravenous administration, 10 mg/ml, 50 ml - vials (1) - cardboard packs"
"??????? ??? ????????????? ???????? ??? ????????????? ? ??????????????? ????????, 1000 ??, 1 ??. - ??????? (1) - ????? ?????????","powder for solution for intravenous and intramuscular administration, 1000 mg, 1 pc. - vials (1) - cardboard packs"
"??????? ??? ????????????? ???????? ??? ????????????? ? ??????????????? ????????, 1000 ??, 10 ??. - ??????? (1) - ????? ?????????","powder for solution for intravenous and intramuscular administration, 1000 mg, 10 pcs. - vials (1) - cardboard packs"
"????????? ??? ??????????????? ????????, 0.5 ??/????, 0.5 ?? - ?????? (1) - ????? ?????????","suspension for intramuscular injection, 0.5 ml/dose, 0.5 ml - syringes (1) - cardboard packs"
"????????? ??? ??????????????? ????????, 0.5 ??/????, 0.5 ?? (1 ????) - ????? (1) - ????? ?????????","suspension for intramuscular injection, 0.5 ml/dose, 0.5 ml (1 dose) - syringe (1) - cardboard packs"
"??????? ??? ????????????? ???????? ??? ????????????? ? ??????????????? ????????, 1000 ??, - ??????? (1) - ????? ?????????","powder for solution for intravenous and intramuscular administration, 1000 mg, - vials (1) - cardboard packs"
"???????? ???????? ?????????????????? ????????? 0,1 ?, 10 ??. - ???????? ????????? ????????? (2) - ????? ?????????","Enteric-coated tablets 0.1 g, 10 pcs. - blister packs (2) - cardboard packs"
"???????? ???????? ?????????????????? ?????????, , 10 ??. - ???????? ????????? ????????? (2) - ????? ?????????","Enteric-coated tablets, 10 pcs. - blister packs (2) - cardboard packs"
"???????? ???????? ?????????????????? ?????????, 0.1 ?, 10 ??. - ???????? ????????? ????????? (2) - ????? ?????????","Enteric-coated tablets, 0.1 g, 10 pcs. - blister packs (2) - cardboard packs"
"????? ??????? 0.5%, 5 ?? - ?????-?????????? ?????????? - ????? ?????????","Eye drops 0.5%, 5 ml - polymer dropper tube - cardboard packs"
"????? ???????, 0.5%, 5 ?? - ?????-?????????? ?????????? (1) - ????? ?????????","eye drops, 0.5%, 5 ml - polymer dropper tube (1) - cardboard packs"
"????? ???????, 0.5%, 5 ?? - ?????-?????????? (1) - ????? ?????????","eye drops, 0.5%, 5 ml - dropper tube (1) - cardboard packs"
"????????, 500 ??, 1 ??. - ???????? ????????????? ????????? (10) -","tablets, 500 mg, 1 pc. - cell-less blister packs (10) -"
"???????? ???????? ?????????????????? ?????????, 400 ??, 10 ??. - ???????? (4) - ????? ?????????","Enteric-coated tablets, 400 mg, 10 pcs. - blisters (4) - cardboard packs"
"???????? ???????? ?????????????????? ?????????, 400 ??, 10 ??. - ???????? (6) - ????? ?????????","Enteric-coated tablets, 400 mg, 10 pcs. - blisters (6) - cardboard packs"
"???????? ???????? ?????????????????? ?????????, 400 ??, 10 ??. - ???????? (7) - ????? ?????????","Enteric-coated tablets, 400 mg, 10 pcs. - blisters (7) - cardboard packs"
"???????? ???????? ?????????????????? ?????????, 400 ??, 10 ??. - ???????? (10) - ????? ?????????","Enteric-coated tablets, 400 mg, 10 pcs. - blisters (10) - cardboard packs"
"???????? ???????? ?????????????????? ?????????, 400 ??, 10 ??. - ???????? (9) - ????? ?????????","Enteric-coated tablets, 400 mg, 10 pcs. - blisters (9) - cardboard packs"
"???????? ???????? ?????????????????? ?????????, 400 ??, 10 ??. - ???????? (8) - ????? ?????????","Enteric-coated tablets, 400 mg, 10 pcs. - blisters (8) - cardboard packs"
"???????? ???????? ?????????????????? ?????????, 400 ??, 10 ??. - ???????? (1) - ????? ?????????","Enteric-coated tablets, 400 mg, 10 pcs. - blisters (1) - cardboard packs"
"???????? ???????? ?????????????????? ?????????, 400 ??, 10 ??. - ???????? (5) - ????? ?????????","Enteric-coated tablets, 400 mg, 10 pcs. - blisters (5) - cardboard packs"
"???????? ???????? ?????????????????? ?????????, 400 ??, 10 ??. - ???????? (3) - ????? ?????????","Enteric-coated tablets, 400 mg, 10 pcs. - blisters (3) - cardboard packs"
"???????? ???????? ?????????????????? ?????????, 400 ??, 10 ??. - ???????? (2) - ????? ?????????","Enteric-coated tablets, 400 mg, 10 pcs. - blisters (2) - cardboard packs"
"??????? ??? ????????????? ???????? 250 ??/??, 10 ?? - ?????? (10) /? ????? ????????? ??? ?????????????? ?? ?????????????/ - ??????? ?????????","solution for intravenous administration 250 mg/ml, 10 ml - ampoules (10) /with an ampoule knife or scarifier as needed/ - cardboard boxes"
"??????? ??? ????????????? ????????, 250 ??/??, 10 ?? - ?????? (10) / ? ????????? ?? ??????????????, ???? ????????? ??? ????? ??????? ???? / - ??????? ?????????","solution for intravenous administration, 250 mg/ml, 10 ml - ampoules (10) / complete with a scarifier, if necessary for this type of ampoules / - cardboard boxes"
"??????? ??? ????????????? ????????, 250 ??/??, 10 ?? - ?????? (10) - ??????? ?????????","solution for intravenous administration, 250 mg/ml, 10 ml - ampoules (10) - cardboard boxes"
"??????? ?????????????????? (? ?? - ???????) 20 ??, 7 ??. - ???????? ????????? ????????? (2) - ????? ?????????","Enteric-coated capsules (in RU - capsules) 20 mg, 7 pcs. - blister packs (2) - cardboard packs"
"??????? ?????????????????? (? ?? - ???????) 20 ??, 7 ??. - ???????? ????????? ????????? (4) - ????? ?????????","Enteric-coated capsules (in RU - capsules) 20 mg, 7 pcs. - blister packs (4) - cardboard packs"
"??????? 20 ??, 7 ??. - ???????? ????????? ????????? (2) - ????? ?????????","20 mg capsules, 7 pcs. - blister packs (2) - cardboard packs"
"??????? 20 ??, 7 ??. - ???????? ????????? ????????? (4) - ????? ?????????","20 mg capsules, 7 pcs. - blister packs (4) - cardboard packs"
"???????, 20 ??, 2 ??. - ???????? ????????? ????????? (7) - ????? ?????????","capsules, 20 mg, 2 pcs. - blister packs (7) - cardboard packs"
"???????, 20 ??, 4 ??. - ???????? ????????? ????????? (7) - ????? ?????????","capsules, 20 mg, 4 pcs. - blister packs (7) - cardboard packs"
"???????, 20 ??, 7 ??. - ???????? ????????? ????????? (2) - ????? ?????????","capsules, 20 mg, 7 pcs. - blister packs (2) - cardboard packs"
"???????, 20 ??, 7 ??. - ???????? ????????? ????????? (4) - ????? ?????????","capsules, 20 mg, 7 pcs. - blister packs (4) - cardboard packs"
"???????, 2,5 ??, 10 ??. - ???????? ????????? ????????? (3) - ????? ?????????","capsules, 2.5 mg, 10 pcs. - blister packs (3) - cardboard packs"
"??????? ??? ????????????? ? ??????????????? ????????, 30 ??/??, 1 ?? - ?????? (10) - ????? ?????????","solution for intravenous and intramuscular administration, 30 mg/ml, 1 ml - ampoules (10) - cardboard packs"
"??????? ??? ????????????? ???????? ??? ???????? ? ????????? ??????????, 3 ? - ??????? - ????? ?????????","powder for the preparation of a solution for local and external use, 3 g - bottles - cardboard packs"
"??????? ??? ????????????? ???????? ??? ???????? ? ????????? ??????????, 5 ? - ??????? - ????? ?????????","powder for the preparation of a solution for local and external use, 5 g - bottles - cardboard packs"
"??????? ??? ????????????? ???????? ??? ???????? ? ????????? ??????????, 3 ? - ??????? (1) - ????? ?????????","powder for the preparation of a solution for local and external use, 3 g - bottles (1) - cardboard packs"
"??????? ??? ????????????? ???????? ??? ???????? ? ????????? ??????????, 5 ? - ??????? (1) - ????? ?????????","powder for the preparation of a solution for local and external use, 5 g - bottles (1) - cardboard packs"
"??????? ??? ????????????? ???????? ??? ???????? ? ????????? ??????????, 5 ? - ?????? (1) - ????? ?????????","powder for the preparation of a solution for local and external use, 5 g - bottle (1) - cardboard packs"
"??????? ??? ????????????? ???????? ??? ???????? ? ????????? ??????????, 3 ? - ?????? (1) - ????? ?????????","powder for the preparation of a solution for local and external use, 3 g - bottle (1) - cardboard packs"
"??????? ??? ????????????? ???????? 50 ??/??, 3 ?? - ?????? (6) - ???????? ????????? ??????????? (???????) - ????? ?????????","solution for intravenous administration 50 mg/ml, 3 ml - ampoules (6) - plastic blister packs (trays) - cardboard packs"
"?????????? ??? ????????????? ???????? ??? ????????????? ????????, 1000 ??, 10 ?? - ?????? (1) - ????? ?????????","lyophilisate for the preparation of a solution for intravenous administration, 1000 IU, 10 ml - bottle (1) - cardboard packs"
"?????????? ??? ????????????? ???????? ??? ????????????? ????????, 500 ??, 5 ?? - ?????? (1) - ????? ?????????","lyophilisate for the preparation of a solution for intravenous administration, 500 IU, 5 ml - bottle (1) - cardboard packs"
"?????????? ??? ????????????? ???????? ??? ????????????? ????????, 500 ??, 1 ??. - ?????? (1) - ????? ?????????","lyophilisate for the preparation of a solution for intravenous administration, 500 IU, 1 pc. - bottle (1) - cardboard packs"
"?????????? ??? ????????????? ???????? ??? ????????????? ????????, 1000 ??, 1 ??. - ?????? (1) - ????? ?????????","lyophilisate for the preparation of a solution for intravenous administration, 1000 IU, 1 pc. - bottle (1) - cardboard packs"
"???????? ????????????????? ????????, 75 ??, 10 ??. - ???????? ????????? ????????? (1) - ????? ?????????","prolonged-release tablets, 75 mg, 10 pcs. - blister packs (1) - cardboard packs"
"???????? ????????????????? ????????, 75 ??, 10 ??., ???????? ????????? ????????? (1) - ????? ?????????","prolonged-release tablets, 75 mg, 10 pcs., blister packs (1) - cardboard packs"
"??????? ??? ????????????? ? ??????????????? ????????, 125 ??/??, 4 ?? - ?????? (5) - ???????? ????????? ????????? (2) - ????? ?????????","solution for intravenous and intramuscular administration, 125 mg/ml, 4 ml - ampoules (5) - blister packs (2) - cardboard packs"
"??????? ??? ????????????? ? ??????????????? ????????, 125 ??/??, 4 ?? - ?????? (5) - ???????? ????????? ????????? (1) - ????? ?????????","solution for intravenous and intramuscular administration, 125 mg/ml, 4 ml - ampoules (5) - blister packs (1) - cardboard packs"
"??????? ??? ????????????? ? ??????????????? ????????, 250 ??/??, 4 ?? - ?????? (5) - ???????? ????????? ????????? (2) -????? ?????????","solution for intravenous and intramuscular administration, 250 mg/ml, 4 ml - ampoules (5) - blister packs (2) - cardboard packs"
