MAL19086002AZ,TORCOXIB 200mg CAPSULES,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL19096015AZ,Flonoxin 400mg tablet,Duopharma Marketing Sdn. Bhd.
MAL19096031X,E-zyme B6 Soothing Liquid,AV MANUFACTURING SDN.BHD
MAL19116029X,RinsA CG 0.1 (Chlorhexidine Gluconate 0.1% w/v Irrigation Solution),AIN MEDICARE SDN. BHD.
MAL19116079NC,JANIPRO Synbiogg Powder,Janipro (M) Sdn Bhd
MAL19126014AZ,Unihepa 1000 IU/ ml Injection (5 ml vial),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19860041ACZ,N/A,N/A
MAL19860043AZ,OXACIL GRANULES 125 MG/ 5 ML,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19860072AZ,BEAPEN VK GRANULES 125MG/5ML,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19860095AZ,CHLORAMINE TABLET,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19860098AZ,CHLORAMINE SYRUP 2.5MG/5ML,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19860101AZ,CHLORAMINE SYRUP 4MG/5ML,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19860103AZ,DEXCHLORAMINE TABLET 2MG,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19860104AZ,Dexchloramine Syrup 2mg/5mL,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19860106AZ,HYDRINATE TABLET 50MG,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19860150AZ,BEAVATE CREAM 0.1%,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19860156AZ,Hysone Cream 1% (w/w),DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19860247AZ,BEATACYCLINE CAPSULE 250 MG,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19860357AZ,UPHAMOL FLU TABLET,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19860359AZ,BEATAFED TABLET,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19860391AZ,PAMECIL CAPSULE 250MG,KOMEDIC SDN BHD
MAL19860396AZ,PAMECIL CAPSULE 500MG,KOMEDIC SDN BHD
MAL19860458AZ,MOXILEN CAPSULE 250MG,KOMEDIC SDN BHD
MAL19860465AZ,MOXILEN CAPSULE 500MG,KOMEDIC SDN BHD
MAL19860468AZ,Betamox 500mg Tablet,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19860535AZ,TETRACYCLINE MC CAPSULE 250MG,KOMEDIC SDN BHD
MAL19860568AZ,MEDOMYCIN CAPSULE 100MG,KOMEDIC SDN BHD
MAL19860580AZ,DOXYCILLIN TABLET 100MG,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19860589AZ,MIRAMYCIN INJECTION 40MG/ML,ATLANTIC LABORATORIES (M) SDN. BHD.
MAL19860662AZ,NEO CREAM 0.5% (w/w),DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19860679AZ,Eryson Granules 200mg/5ml,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19860681AZ,Eryson Granules 400mg/5ml,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19860789AZ,RIFASYNT 150 CAPSULE,KOMEDIC SDN BHD
MAL19860806AZ,Ethol Tablet 400mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19860825AZ,RIFASYNT 300 CAPSULE,KOMEDIC SDN BHD
MAL19860841AZ,MEDOFULVIN TABLET 125MG,KOMEDIC SDN BHD
MAL19860847AZ,KRISOVIN TABLET 500MG,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19860848AZ,MEDOFULVIN 500 TABLET,KOMEDIC SDN BHD
MAL19860850AZ,PK-MERZ TABLET 100MG,SUMMIT COMPANY (MALAYSIA) SENDIRIAN BERHAD
MAL19860947AZ,TAVER TABLET 200MG,KOMEDIC SDN BHD
MAL19861062AZ,ALMIRAL TABLET 25MG,KOMEDIC SDN BHD
MAL19861067AZ,ALMIRAL TABLET 50MG,KOMEDIC SDN BHD
MAL19861176AZ,CHLORPYRIMINE INJECTION 10MG/ML,ATLANTIC LABORATORIES (M) SDN. BHD.
MAL19861270AZ,DIAPO TABLET 5MG,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19861288AZ,DIAPINE INJECTION 10MG (2ML),ATLANTIC LABORATORIES (M) SDN. BHD.
MAL19861304AZ,AKAMON TABLET 3MG,KOMEDIC SDN BHD
MAL19861325AZ,LORANS 1 TABLET,KOMEDIC SDN BHD
MAL19861328AZ,LORANS 2 TABLET,KOMEDIC SDN BHD
MAL19861364AZ,Royce Haloperidol Tablet 1.5mg,ROYCE PHARMA MANUFACTURING SDN. BHD.
MAL19861523AZ,LOMIDE CAPSULE 2MG,SPG PHARMA (MALAYSIA) SDN BHD
MAL19861544AZ,AKILEN 40MG FILM-COATED TABLETS,KOMEDIC SDN BHD
MAL19861548AZ,AKILEN 80MG FILM-COATED TABLETS,KOMEDIC SDN BHD
MAL19861587AZ,FENAMON TABLET 10MG,KOMEDIC SDN BHD
MAL19870138AZ,HEPARINOL 1000 IU/mL,AIN MEDICARE SDN. BHD.
MAL19870139AZ,HEPARINOL 5000 IU/mL,AIN MEDICARE SDN. BHD.
MAL19870205AZ,DIRINE INJECTION 20MG/2ML,ATLANTIC LABORATORIES (M) SDN. BHD.
MAL19870234AZ,Spiro 25mg Tablet,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19870287AZ,CLINT TABLET 100MG,KOMEDIC SDN BHD
MAL19870317AZ,Hydrinate Syrup 15mg/5ml,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19870410AZ,Glucoxit Tablet 500mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19870413AZ,BROT 500MG TABLET,KOMEDIC SDN BHD
MAL19870561AZ,N/A,N/A
MAL19870588AZ,BEMETHA TABLET 0.5MG,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19870623AZ,DEXALONE TABLET 0.5,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19870628AZ,DEXASONE TABLET 0.5MG,ATLANTIC LABORATORIES (M) SDN. BHD.
MAL19870636AZ,DEXALONE TABLET 0.75,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19870643AZ,DEXASONE INJECTION 5MG (1ML AMP),ATLANTIC LABORATORIES (M) SDN. BHD.
MAL19870696AZ,DUINUM TABLET 50MG,KOMEDIC SDN BHD
MAL19870732AZ,MEDOLIN 2MG TABLET,KOMEDIC SDN BHD
MAL19870740AZ,MEDOLIN 4MG TABLET,KOMEDIC SDN BHD
MAL19870759AZ,ATALINE TABLET 2.5MG,KOMEDIC SDN BHD
MAL19870913AZ,COTRIM DS 960MG TABLET,KOMEDIC SDN BHD
MAL19870922AZ,COTRIM 480MG TABLET,KOMEDIC SDN BHD
MAL19870958AZ,HERPESAN GEL 2%,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL19871024AZ,CHLORTRALIM OPHTHALMIC OINTMENT 1%,ATLANTIC LABORATORIES (M) SDN. BHD.
MAL19871075AZ,UPHAMOL PLUS CODEINE TABLET,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19871101AZ,ANAREX TABLET,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19871195AZ,ORAL AID LOTION,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19871220AZ,POCIN H EAR DROPS,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19871646AZ,BEAMOTIL TABLET,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19871687AZ,PROCHLOR TABLET 5,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19871698AZ,ERYSON TABLET 250,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19871725AZ,DIPHENDRYL EXPECTORANT,ROYCE PHARMA MANUFACTURING SDN. BHD.
MAL19871957AZ,MONOCLOX CAPSULE 250MG,KOMEDIC SDN BHD
MAL19871961AZ,ANARGIL CAPSULE 200MG,KOMEDIC SDN BHD
MAL19872182AZ,METRONOL (METRONIDAZOLE 0.5% INJ),AIN MEDICARE SDN. BHD.
MAL19872225AZ,AXCEL METRONIDAZOLE 400 TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL19872269AZ,CHLORITON TABLET 4MG,TERAPUTICS SDN BHD
MAL19880163AZ,AXCEL CHLORPHENIRAMINE TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL19880168AZ,TRIOSOLONE TABLET 5MG,TERAPUTICS SDN BHD
MAL19880212AZ,BUTALINE SYRUP 1.5MG/5ML,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19880308AZ,PONTACID CAPSULE 250MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19890080AZ,BRITALINE TABLET 2.5MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19890082AZ,PONTACID FORTE TABLET,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19890140AZ,AXCEL DEXCHLORPHENIRAMINE TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL19890164AZ,ACTIMIN TABLET,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19890222ACZ,FULVICIDE TABLET 500MG,ZONTRON PHARMACEUTICALS SDN. BHD.
MAL19890246AZ,BETAMOX GRANULE 125MG/5ML,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19890247AZ,BETAMOX GRANULES 250MG/5ML,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19890266ACZ,DEXIN TABLET 0.5MG,ZONTRON PHARMACEUTICALS SDN. BHD.
MAL19890329AZ,BETAMOX CAPSULE 250MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19890330AZ,BETAMOX CAPSULE 500MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19890370AZ,DHACOPAN TABLET 10MG,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL19890378AZ,DHASOLONE TABLET 5MG,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL19890514AZ,AXCEL BETAMETHASONE CREAM,KOTRA PHARMA (M) SDN. BHD.
MAL19890539AZ,CLOPIXOL DROPS 20MG/ML,Lundbeck Malaysia Sdn. Bhd.
MAL19890541AZ,CLOPIXOL DEPOT INJ 200MG/ML (1ML AMP),Lundbeck Malaysia Sdn. Bhd.
MAL19890545AZ,FLUANXOL DEPOT INJ 20MG/ML (1ML),Lundbeck Malaysia Sdn. Bhd.
MAL19890565ARZ,MINIRIN INJECTION 4MCG/ML,Ferring Sdn. Bhd.
MAL19890600AZ,AXCEL HYDROCORTISONE CREAM,KOTRA PHARMA (M) SDN. BHD.
MAL19890622AZ,DECAN INJECTION 2MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19890638AZ,VOREN INJECTION,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19890643AZ,Betasone Actavis Cream 0.1%w/w,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL19890670AZ,RASITOL INJECTION 20MG/2ML (AMP),Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19890671AZ,SHINCORT INJECTION 10MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19890672AZ,Shincort Injection 40mg/mL (1mL Amp),Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19890682AZ,ANARGIL CAPSULES 100MG,KOMEDIC SDN BHD
MAL19900020AZ,ULCERAN TABLET 20MG,KOMEDIC SDN BHD
MAL19900021AZ,ULCERAN TABLET 40MG,KOMEDIC SDN BHD
MAL19900029AZ,AXCEL SALBUTAMOL-2 TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL19900030AZ,AXCEL SALBUTAMOL-4 TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL19900055AZ,ALLERSINE EYE DROPS,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19900076AZ,YSP Amoxicillin Capsules 500mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19900182AZ,PRETENOL C 50 TABLET,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19900183AZ,PRETENOL C 100 TABLET,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19900184AZ,MODURIDE TABLET,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19900254AZ,BECARIN CREAM 2%,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19900255AZ,AXCEL MICONAZOLE CREAM,KOTRA PHARMA (M) SDN. BHD.
MAL19900274ACZ,FUNGICIDE CREAM 2%W/W,ZONTRON PHARMACEUTICALS SDN. BHD.
MAL19900279XCZ,CANDINIL CREAM 1%W/W,ZONTRON PHARMACEUTICALS SDN. BHD.
MAL19900375AZ,CEPHALEXIN GRANULES FOR ORAL SUSPENSION ‘MPI’ 125mg/5ml,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19900407AZ,GENTA-DEX EYE DROPS,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19900412AZ,TRIDIN-P SYRUP,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19900415AZ,N/A,N/A
MAL19900461AZ,IPOLIPID CAPSULES 300MG,KOMEDIC SDN BHD
MAL19900462AZ,MABRON CAPSULES 50MG,KOMEDIC SDN BHD
MAL19900491AZ,ALMIRAL 100MG SUPPOSITORIES,KOMEDIC SDN BHD
MAL19900497AZ,INFLAFEN TABLETS 200MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19900500AZ,CARBIMIN TABLETS 4MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19900509AZ,TRANPAM TABLET 0.5MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19900510AZ,TRANPAM TABLET 1MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19900511AZ,NITRAPAM TABLETS 5MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19900523AZ,VASCOTEN TABLETS 100MG,KOMEDIC SDN BHD
MAL19900530AZ,DEFUNGO 0.1G (VAGINAL TABLET),SPG PHARMA (MALAYSIA) SDN BHD
MAL19900592AZ,PHENEXPECT SYRUP,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL19900593AZ,FEDAC SYRUP,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL19900594AZ,FEDAC TABLET,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL19900629AZ,VASCOTEN 50MG TABLET,KOMEDIC SDN BHD
MAL19900635AZ,LEVOMED TABLET (250/25),KOMEDIC SDN BHD
MAL19900636AZ,MEDOCRIPTINE 2.5MG TABLET,KOMEDIC SDN BHD
MAL19900659AZ,CLOPIXOL-ACUPHASE INJ 50MG/ML (1ML),Lundbeck Malaysia Sdn. Bhd.
MAL19910003AZ,CEPHALEXIN CAPSULES 'MPI' 250 MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19910006AZ,LICONATE TABLET 300MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19910031AZ,TRIDIN-P TABLETS,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19910073AZ,DIPRODIN ELIXIR,KOTRA PHARMA (M) SDN. BHD.
MAL19910341XZ,REDON SUSPENSION 250MG/5ML,ROYCE PHARMA MANUFACTURING SDN. BHD.
MAL19910598XC,Hurix's Deworming Suspension,JIN BIN CORPORATION SDN. BHD.
MAL19910599XC,HURIX'S ANTACID TABLET,JIN BIN CORPORATION SDN. BHD.
MAL19910845AZ,N/A,N/A
MAL19911416X,AXCEL KAOPEC SUSPENSION,KOTRA PHARMA (M) SDN. BHD.
MAL19911419XZ,AXCEL BROMHEXINE (CHILDREN) SYRUP,KOTRA PHARMA (M) SDN. BHD.
MAL19911420XZ,AXCEL BROMHEXINE TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL19911423XZ,AXCEL B-COMPLEX TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL19911425X,AXCEL DEXXON LOZENGES,KOTRA PHARMA (M) SDN. BHD.
MAL19911426X,Appeton Essentials Milk Calcium,KOTRA PHARMA (M) SDN. BHD.
MAL19911434XZ,AXCEL PARACETAMOL 120MG SYRUP (CHERRY),KOTRA PHARMA (M) SDN. BHD.
MAL19911435XZ,AXCEL PARACETAMOL-250 SUSPENSION (ORANGE),KOTRA PHARMA (M) SDN. BHD.
MAL19911445XZ,AXCEL FOLIC ACID TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL19911458X,AXCEL EVILINE TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL19911461X,AXCEL EVILINE FORTE SUSPENSION,KOTRA PHARMA (M) SDN. BHD.
MAL19911462X,Appeton Multi-Vitamin Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL19911524X,AXE BRAND MEDICATED OIL,Leung Kai Fook Medical Sdn. Bhd.
MAL19912378XR,EGODERM OINTMENT,EGO PHARM MALAYSIA SDN. BHD.
MAL19912379XR,EGODERM CREAM,EGO PHARM MALAYSIA SDN. BHD.
MAL19912380XZ,PINETARSOL SOLUTION,EGO PHARM MALAYSIA SDN. BHD.
MAL19912381XZ,PINETARSOL GEL,EGO PHARM MALAYSIA SDN. BHD.
MAL19912398XR,N/A,N/A
MAL19912425XZ,DHAMOL SUSPENSION 250MG/5ML,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL19912626X,POTCIT MIXTURE,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19912631XZ,UPHALYTE SALTS,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19912640X,BEAZYME TABLET,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19912644XZ,N/A,N/A
MAL19912652XZ,Duobion Tablet,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19912671XZ,BEACOLUX TABLET 5MG ENTERIC COATED,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19912674X,Calsonate 500mg Capsule,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19912686XZ,Uphamol 120 Infant Syrup 120mg/5ml (Orange),DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19912692XZ,Uphacol Bromhexine HCl Syrup 4mg/5ml,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19912697XZ,Duafolic 5mg Tablet,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19912711X,UPHAVIT SYRUP,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19912715X,ALUCID SUSPENSION,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19912742AZ,PENTASA ENEMA,Ferring Sdn. Bhd.
MAL19912925XZ,Wari Ethylchloride Spray,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL19912973ACZ,SALOFALK ENEMAS,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL19913162XR,EGOPSORYL TA GEL,EGO PHARM MALAYSIA SDN. BHD.
MAL19913261AZ,BETAWIN TABLET 50MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19913262AZ,BETAWIN TABLET 100MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19920267X,SIMEPAR CAPSULES,MEPHARM (MALAYSIA) SDN. BHD.
MAL19920300AZ,BEZONE CREAM 0.1% W/W,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19920348XZ,BISCOMIN TABLETS 8MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19920352XZ,U-IODIN LOTION 10%W/V,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19920481AZ,GENTAMED INJECTION 80MG/2ML,KOMEDIC SDN BHD
MAL19920482AZ,MABRON INJECTION,KOMEDIC SDN BHD
MAL19920581XS,AXE BRAND MEDICATED OIL,Leung Kai Fook Medical Sdn. Bhd.
MAL19920712AZ,INFUSOL S3,AIN MEDICARE SDN. BHD.
MAL19920728AZ,PERITONIL H1,AIN MEDICARE SDN. BHD.
MAL19920729AZ,PERITONIL H2,AIN MEDICARE SDN. BHD.
MAL19920731AZ,PERIZOL 2G,AIN MEDICARE SDN. BHD.
MAL19920935XC,HURIX'S SKIN OINTMENT,JIN BIN CORPORATION SDN. BHD.
MAL19921114AZ,MEDOFLOXINE TABLET 200MG,KOMEDIC SDN BHD
MAL19921171XZ,ARFEN 125 SUPPOSITORIES,KOMEDIC SDN BHD
MAL19921172XZ,ARFEN 250 SUPPOSITORIES,KOMEDIC SDN BHD
MAL19921470AZ,AXCEL METOCLOPRAMIDE TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL19921472XZ,CREOBIC CREAM,KOTRA PHARMA (M) SDN. BHD.
MAL19921520AZ,SPASIL TABLET,IMEKS PHARMA SDN. BHD.
MAL19921576AZ,MODIM CAPSULE,IMEKS PHARMA SDN. BHD.
MAL19930008XZ,Three Legs Ai Kan Shan Fever Powder Paracetamol 500mg/Sachet,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL19930010XZ,Three Legs Medicinal Powder Aspirin 600mg/Sachet,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL19930398AZ,PROPYL TABLET 50MG,IMEKS PHARMA SDN. BHD.
MAL19930491AZ,SELFIDE LOTION,IMEKS PHARMA SDN. BHD.
MAL19930493AZ,KENO ORAL PASTE,IMEKS PHARMA SDN. BHD.
MAL19930494AZ,TOLCHICINE TABLET 0.6MG,IMEKS PHARMA SDN. BHD.
MAL19930519AZ,Dextrophan Syrup 15mg/5ml,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19930530AZ,PENTASA SUPPOSITORIES 1G,Ferring Sdn. Bhd.
MAL19930564AZ,U-KEFEN TABLETS 1MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19930565AZ,U-KEFEN SYRUP 1MG/5ML,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19930599AZ,ECONAZINE CREAM,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19930600AZ,BECAME TABLET,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19930601AZ,Doxymycin Capsule 100mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19930602AZ,YSP Ibuprofen Film Coated Tablet 400mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19930603AZ,PONTALON FILM-COATED TABLET,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19930605AZ,VOREN ENTERIC COATED TABLET 50MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19930606AZ,VOREN ENTERIC COATED TABLET 25MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19930608AZ,YSP ANTIFUNGAL CREAM 20MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19930647AZ,AXCEL CINNARIZINE TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL19940027AZ,CINNA TABLET,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940028AZ,YSP PREDNISOLONE 5MG TABLET,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940029AZ,UCORT CREAM,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940030AZ,YSP Allopurinol Tablet 100mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940031AZ,YSP Betamethasone Tablet 0.5mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940034AZ,FUCON FILM COATED TABLET 10MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940036AZ,INDOMEN CAPSULE,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940037AZ,VOREN GEL,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940050X,SWECON SUSPENSION 100MG/ML,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940052X,SHINOXOL TABLET 30MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940144AZ,DECAN TABLET,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940149AZ,FORKNOW TABLET,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940171XCZ,PANAMOL SUSPENSION 250MG/5ML,ZONTRON PHARMACEUTICALS SDN. BHD.
MAL19940185XCZ,FLAVISEPT CREAM 0.1%W/W,ZONTRON PHARMACEUTICALS SDN. BHD.
MAL19940186XCZ,KALMINE LOTION,TERAPUTICS SDN BHD
MAL19940204XC,ALUSIL MPS TABLET,ZONTRON PHARMACEUTICALS SDN. BHD.
MAL19940208XCZ,PANAMOL 500MG TABLET,ZONTRON PHARMACEUTICALS SDN. BHD.
MAL19940209XCZ,PANAMOL 250MG TABLET,ZONTRON PHARMACEUTICALS SDN. BHD.
MAL19940271AZ,AXCEL CIMETIDINE-400 TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL19940272AZ,AXCEL CIMETIDINE-200 SUSPENSION,KOTRA PHARMA (M) SDN. BHD.
MAL19940289AZ,HORF LOZENGES,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940292AZ,PONTALON CAPSULE,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940294AZ,SOMIN TABLET 2MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940309X,CALCIUM CARBONATE TABLETS 'MPI' 500MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19940370AZ,Shincort Injection 40mg/mL (5mL Vial),Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940371AZ,BROZIL CAPSULE 300MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940372AZ,SHINTAMET FILM COATED TABLET 400MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940439AZ,Pentasa Prolonged Release Tablet 500mg,Ferring Sdn. Bhd.
MAL19940550XZ,PARACIL SUSPENSION 250MG/5ML,SM PHARMACEUTICALS SDN. BHD.
MAL19940551XZ,PARACIL TABLET 500MG,SM PHARMACEUTICALS SDN. BHD.
MAL19940561X,QUEMOX TABLET 500MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940638AZ,BUFENCON INJECTION 5ML VIAL,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19940726AZ,BREATHNINE SYRUP 2MG/5ML,SM PHARMACEUTICALS SDN. BHD.
MAL19940735XZ,UPHAMOL 650 TABLET,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19940741X,AXOL LIQUID 3MG/ML,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19950084AZ,DIABITOL TABLET 5MG,SM PHARMACEUTICALS SDN. BHD.
MAL19950085XZ,CLOZOLE CREAM 1%,SM PHARMACEUTICALS SDN. BHD.
MAL19950086AZ,Betacort Cream 0.1% W/W,SM PHARMACEUTICALS SDN. BHD.
MAL19950096ARZ,MINIRIN TABLET 0.1MG,Ferring Sdn. Bhd.
MAL19950097ARZ,MINIRIN TABLET 0.2MG,Ferring Sdn. Bhd.
MAL19950126XC,GLYCERIN OF THYMOL,TERAPUTICS SDN BHD
MAL19950130XZ,MUCOXIN TABLET 8MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19950137XZ,TEMPOL TABLETS 500MG,DUOPHARMA (M) SENDIRIAN BERHAD
