value,count,example_columns
"порошок для приготовления раствора для приема внутрь [виноградный] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (20) - пачки картонные",1,Local Pack Description
"порошок для приготовления раствора для приема внутрь [виноградный] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (6) - пачки картонные",1,Local Pack Description
порошок для приготовления раствора для приема внутрь [для детей] 2 г - флаконы - пачки картонные,1,Local Pack Description
"порошок для приготовления раствора для приема внутрь [для детей] 4 г, 4.067 г - пакетики из комбинированного материала (20) - пачки картонные",1,Local Pack Description
"порошок для приготовления раствора для приема внутрь [для детей], 4.869 г - пакетики из комбинированного материала (10) - пачки картонные",1,Local Pack Description
"порошок для приготовления раствора для приема внутрь [яблочный] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (10) - пачки картонные",1,Local Pack Description
"порошок для приготовления раствора для приема внутрь [яблочный] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (20) - пачки картонные",1,Local Pack Description
"порошок для приготовления раствора для приема внутрь [яблочный] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (6) - пачки картонные",1,Local Pack Description
"порошок для приготовления раствора для приема внутрь [яблочный] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (10) - пачки картонные",1,Local Pack Description
"порошок для приготовления раствора для приема внутрь [яблочный] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (20) - пачки картонные",1,Local Pack Description
"порошок для приготовления раствора для приема внутрь [яблочный] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (6) - пачки картонные",1,Local Pack Description
"порошок для приготовления раствора для приема внутрь для детей [клубничный], 5.129 г - пакетики из материала пленочного комбинированного (10) - пачки картонные",1,Local Pack Description
"порошок для приготовления раствора для приема внутрь со вкусом апельсина 1000 мг, 4 г - пакетики (10) - пачки картонные",1,Local Pack Description
"порошок для приготовления раствора для приема внутрь со вкусом каркаде и зеленого чая 1000 мг, 4 г - пакетики (10) - пачки картонные",1,Local Pack Description
"порошок для приготовления раствора для приема внутрь, 1 мг/мл, 12.6 г - флаконы (1) / в комплекте с колпачком мерным / - пачки картонные",1,Local Pack Description
"порошок для приготовления раствора для приема внутрь, 18.9 г - пакетики из алюминиевой фольги ламинированные (20) - пачки картонные",1,Local Pack Description
"порошок для приготовления раствора для приема внутрь, 2 г, - флаконы (1) - пачки картонные",1,Local Pack Description
"порошок для приготовления раствора для приема внутрь, 6.03 г - пакетики из комбинированного материала (10) - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения (в РУ - микросферы для приготовления суспензии для внутримышечного введения) 10 мг - флаконы - контейнеры пластиковые /в комплекте с растворителем (шприцы) 2.5 мл-1 шт., иглами-2 шт./ - пачк",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения 0,25 г + 0,25 г - флаконы (1) - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения 0,25 г + 0,25 г - флаконы (40) - коробки картонные (для стационаров)",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения 0,5 г + 0,5 г - флаконы (1) - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения 0,5 г + 0,5 г - флаконы (40) - коробки картонные (для стационаров)",1,Local Pack Description
порошок для приготовления суспензии для внутримышечного введения 1.2 млн.ЕД - флаконы,1,Local Pack Description
порошок для приготовления суспензии для внутримышечного введения 1.2 млн.ЕД - флаконы (10) - пачки картонные,1,Local Pack Description
порошок для приготовления суспензии для внутримышечного введения 1.2 млн.ЕД - флаконы (50) - коробки картонные,1,Local Pack Description
порошок для приготовления суспензии для внутримышечного введения 1200000 ЕД - флаконы,1,Local Pack Description
порошок для приготовления суспензии для внутримышечного введения 1200000 ЕД - флаконы (50) - коробки картонные,1,Local Pack Description
порошок для приготовления суспензии для внутримышечного введения 1200000 ЕД- флаконы(50) - коробки картонные,1,Local Pack Description
порошок для приготовления суспензии для внутримышечного введения 2400000 ЕД -флаконы (50) - коробки картонные,1,Local Pack Description
порошок для приготовления суспензии для внутримышечного введения 600 тыс.ЕД - флаконы (10) - пачки картонные,1,Local Pack Description
порошок для приготовления суспензии для внутримышечного введения 600 тыс.ЕД - флаконы (50) - коробки картонные,1,Local Pack Description
порошок для приготовления суспензии для внутримышечного введения 600000 ЕД - флаконы,1,Local Pack Description
порошок для приготовления суспензии для внутримышечного введения 600000 ЕД- флаконы,1,Local Pack Description
порошок для приготовления суспензии для внутримышечного введения пролонгированного действия (в РУ - микросферы для приготовления суспензии для внутримышечного введения) 20 мг - флаконы - контейнеры пластиковые /в комплекте с растворителем (шприцы) 2.5 мл-,1,Local Pack Description
порошок для приготовления суспензии для внутримышечного введения пролонгированного действия (в РУ - микросферы для приготовления суспензии для внутримышечного введения) 30 мг - флаконы - контейнеры пластиковые /в комплекте с растворителем (шприцы) 2.5 мл-,1,Local Pack Description
порошок для приготовления суспензии для внутримышечного введения пролонгированного действия (в РУ - порошок для приготовления раствора для внутримышечного введения) 2.4 млн.МЕ - флаконы (50) - коробки картонные,1,Local Pack Description
порошок для приготовления суспензии для внутримышечного введения пролонгированного действия 2.4 млн.МЕ - флаконы (1) - пачки картонные,1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения пролонгированного действия 25 мг - флаконы (1) - упаковки ячейковые контурные /в комплекте с растворителем (шприцы) 2 мл, иглой с защитным кожухом для внутримышечной инъекции -1 шт. и систе",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения пролонгированного действия 25 мг - флаконы (1) /в комплекте с растворителем (шприц) 2 мл - 1 шт, безыгольное устройство - 1 шт , игла - 2 шт./ - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения пролонгированного действия 25 мг, 1 шт. - флаконы - упаковки ячейковые контурные /в комплекте с растворителем (шприцы) 2 мл, иглой-1 шт. и системой с безыгольным устройством Alaris™ Smart Si",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения пролонгированного действия 37,5 мг - флаконы (1) - упаковки ячейковые контурные /в комплекте с растворителем (шприцы) 2 мл, иглой с защитным кожухом для внутримышечной инъекции -1 шт. и сис",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения пролонгированного действия 37.5 мг - флаконы (1) /в комплекте с растворителем (шприц) 2 мл - 1 шт, безыгольное устройство - 1 шт , игла - 2 шт./ - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения пролонгированного действия 37.5 мг, 1 шт. - флаконы - упаковки ячейковые контурные /в комплекте с растворителем (шприцы) 2 мл, иглой-1 шт. и системой с безыгольным устройством Alaris™ Smart",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения пролонгированного действия 50 мг - флаконы (1) - упаковки ячейковые контурные /в комплекте с растворителем (шприцы) 2 мл, иглой с защитным кожухом для внутримышечной инъекции -1 шт. и систем",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения пролонгированного действия 50 мг, 1 шт. - флаконы - упаковки ячейковые контурные /в комплекте с растворителем (шприцы) 2 мл, иглой-1 шт. и системой с безыгольным устройством Alaris™ Smart Si",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения пролонгированного действия, 20 мг, 1 шт. - флаконы (1) -",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения пролонгированного действия, 30 мг, 1 шт. - флаконы (1) -",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения пролонгированного действия, 380 мг, - флакон (1) / в комплекте с растворителем (флаконы) 4 мл, шприцем-1шт., иглой для приготовления суспензии-1шт. и иглами для инъекций-2 шт. / - пачка картонная",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения пролонгированного действия, 380 мг, - флакон (1) / в комплекте с растворителем (флаконы) 4 мл, шприцем-1шт., иглой для приготовления суспензии-1шт. и иглами для инъекций-2 шт. / - пачки ка",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения, 1.2 млн.ЕД, 1 шт. - флакон (1) -",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения, 10 мг, 1 шт. - флаконы (1) -",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения, 1200000 ЕД, 1 шт. - флакон (1) -",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения, 600 тыс.ЕД, 1 шт. - флаконы (1) -",1,Local Pack Description
"порошок для приготовления суспензии для внутримышечного введения, 600000 ЕД, 1 шт. - флаконы (1) -",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь 100 мг|5 мл, 17 г - флаконы темного стекла 50 мл /в комплекте с ложкой дозировочной 2-сторонней и шприцем дозировочным/ - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь 125 мг, 1.75 г - пакеты термосвариваемые из материала ""Буфлен"" (20) - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь 125мг, 1,5г-пакетики термосвариваемые (10)-пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь 12мг/1мл - 30г, флакон темного стекла (1) в комплекте с стаканом мерным и дозирующим шприцем - пачка картонная",1,Local Pack Description
порошок для приготовления суспензии для приема внутрь 2 г - саше (28) - пачки картонные,1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь 200 мг + 28.5 мг/5 мл, 7.7 г - флаконы (1) /в комплекте с дозирующим шприцом/ - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь 200 мг+28.5 мг|5 мл, 7.7 г - флаконы /в комплекте с колпачком мерным/ - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь 250 мг, 3.5 г - пакеты термосвариваемые из материала ""Буфлен"" (10) - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь 250 мг/5 мл, 70.7 г - флаконы (1) /в комплекте с ложкой дозировочной/ - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь 250 мг|5 мл, 64.8 г - флаконы темного стекла /с лож.дозир./ - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь 250 мг|5 мл, 64.8 г - флаконы темного стекла 125 мл /с лож.дозир./ - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь 250мг, 3г-пакетики термосвариваемые (10)-пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь 37.5 мг, 2.5 г - пакетики из комбинированного материала ""Буфлен"" (30) - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь 40 мг/мл, 45 г - флаконы полиэтиленовые (1) /в комплекте со шприцем 5 мл, адаптером, мерной чашкой 23 мл/ - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь 400 мг+57 мг|5 мл, 12.6 г - флаконы /в комплекте с дозирующим шприцем/ - пачки картонные",1,Local Pack Description
порошок для приготовления суспензии для приема внутрь 50 мг|5 мл - флаконы пластиковые /с лож.мерн./ - пачки картонные,1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь 500 мг, 7 г - пакеты термосвариваемые из материала ""Буфлен"" (5) - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь 500мг, 6г-пакетики термосвариваемые (10)-пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь 600 мг+42.9 мг/5 мл, 1 шт., 23.13 г - флаконы - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь 75 мг, 5 г - пакетики из комбинированного материала ""Буфлен"" (15) - пачки картонные",1,Local Pack Description
порошок для приготовления суспензии для приема внутрь [апельсиновый] 3 г - пакетики (10) - пачки картонные,1,Local Pack Description
порошок для приготовления суспензии для приема внутрь [апельсиновый] 3 г - пакетики (3) - пачки картонные,1,Local Pack Description
порошок для приготовления суспензии для приема внутрь [апельсиновый] 3 г - пакетики из материала комбинированного (10) - пачки картонные,1,Local Pack Description
порошок для приготовления суспензии для приема внутрь [апельсиновый] 3 г - пакетики из материала комбинированного (3) - пачки картонные,1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь [апельсиновый] 3 г, 3.76 г - пакетики (10) - пачки картонные",1,Local Pack Description
порошок для приготовления суспензии для приема внутрь [апельсиновый] 3 г. - пакетики (10) - пачки картонные,1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь [апельсиновый], 3 г, 3.76 г - пакетики из комбинированного материала (10) - пачки картонные",1,Local Pack Description
порошок для приготовления суспензии для приема внутрь [ванильный] 3 г - пакетики (10) - пачки картонные,1,Local Pack Description
порошок для приготовления суспензии для приема внутрь [ванильный] 3 г - пакетики (3) - пачки картонные,1,Local Pack Description
порошок для приготовления суспензии для приема внутрь [ванильный] 3 г - пакетики из материала комбинированного (10) - пачки картонные,1,Local Pack Description
порошок для приготовления суспензии для приема внутрь [ванильный] 3 г - пакетики из материала комбинированного (3) - пачки картонные,1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь [ванильный] 3 г, 3.76 г - пакетики (10) - пачки картонные",1,Local Pack Description
порошок для приготовления суспензии для приема внутрь [ванильный] 3 г. - пакетики (10) - пачки картонные,1,Local Pack Description
порошок для приготовления суспензии для приема внутрь [лимонный] 3 г - пакетики из материала комбинированного (10) - пачки картонные,1,Local Pack Description
порошок для приготовления суспензии для приема внутрь [лимонный] 3 г - пакетики из материала комбинированного (3) - пачки картонные,1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь [лимонный], 3 г, - пакетики (10) - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь [лимонный], 3 г, - пакетики (3) - пачки картонные",1,Local Pack Description
порошок для приготовления суспензии для приема внутрь [малиновый] 3 г - пакетики (10) - пачки картонные,1,Local Pack Description
порошок для приготовления суспензии для приема внутрь [малиновый] 3 г - пакетики (3) - пачки картонные,1,Local Pack Description
порошок для приготовления суспензии для приема внутрь [малиновый] 3 г - пакетики из материала комбинированного (10) - пачки картонные,1,Local Pack Description
порошок для приготовления суспензии для приема внутрь [малиновый] 3 г - пакетики из материала комбинированного (3) - пачки картонные,1,Local Pack Description
порошок для приготовления суспензии для приема внутрь [малиновый] 3 г. - пакетики (10) - пачки картонные,1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь, , - пакеты (40) - коробки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь, 100 г - стаканчики (120) - ящики картонные (для стационаров)",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь, 100 г - стаканчики (60) - ящики картонные (для стационаров)",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь, 100 мг/5 мл, 15.9 г - флаконы (1) / в комплекте с мерной ложкой и пипеткой для дозирования / - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь, 100 мг/5 мл, 16.5 г - флакон (1) / в комплекте со шприцем мерным и пробкой с отверстием для присоединения шприца / - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь, 125 мг+31.25 мг|5 мл, 1 шт. - флакон (1) / в комплекте с мерным колпачком / - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь, 125 мг/5 мл, - флакон (1) / в комплекте с ложкой дозировочной / - пачка картонная",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь, 125 мг|5 мл, 42.3 г - флаконы (1) / в комплекте с ложкой дозировочной / - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь, 20 мг, 5 шт. - пакетики (1) - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь, 20 мг, 5 шт. - пакетики (5) - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь, 200 мг+28.5 мг|5 мл, 7.7 г - флакон (1) / в комплекте с колпачком мерным / - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь, 200 мг/5 мл, 15.9 г - флаконы (1) / в комплекте с мерной ложкой и пипеткой для дозирования / - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь, 200 мг/5 мл, 16.74 г - флаконы (1) / в комплекте с ложкой дозировочной 2-сторонней и шприцем дозировочным / - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь, 200 мг/5 мл, 16.74 г - флаконы полиэтиленовые (1) / в комплекте с ложкой дозировочной 2-сторонней и шприцем дозировочным / - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь, 200 мг/мл, 12.4 г - флакон (1) / в комплекте со шприцем мерным с крышечкой, и пробкой с отверстием для присоединения шприца / - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь, 200 мг/мл, 16.5 г - флакон (1) / в комплекте со шприцем мерным и пробкой с отверстием для присоединения шприца / - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь, 200 мг/мл, 24.8 г - флакон (1) / в комплекте со шприцем мерным с крышечкой, и пробкой с отверстием для присоединения шприца / - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь, 240 г - пакеты из комбинированных материалов",1,Local Pack Description
"порошок для приготовления суспензии для приема внутрь, 400 мг + 57 мг/5 мл, 12.6 г - флаконы (1) / в комплекте с шприцем дозирующим / - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приёма внутрь 100 мг/5 мл, 15.9 г - флаконы/ в комплекте с мерной ложкой и пипеткой для дозирования/ (1) - пачки картонные",1,Local Pack Description
"порошок для приготовления суспензии для приёма внутрь 200 мг/5 мл, 15.9 г - флаконы/ в комплекте с мерной ложкой и пипеткой для дозирования/ (1) - пачки картонные",1,Local Pack Description
порошок для приготовления суспензии пролонгированного действия для приема внутрь 2 г - флаконы (1) - пачки картонные,1,Local Pack Description
"порошок для приема внутрь 50 мг/г, 144 г - флаконы полиэтиленовые /в комплекте с ложкой мерной/ - пачки картонные",1,Local Pack Description
Преднизолон-Ферейн,1,Product Group
Преднизолона таблетки,1,Product Group
Продеп,1,Product Group
Проканазол,1,Product Group
Простенонгель,1,Product Group
Пульмикорт турбухалер,1,Product Group
Пэгинтерферон альфа-2a (40 кДа),1,Generic Name
Радия хлорид (223Ra),1,Generic Name
"Радия хлорид, 223Ra",1,Product Group
Райзодег ФлексТач,1,Product Group
Рамуцирумаб,1,Generic Name
Ранитидин Софарма,1,Product Group
Ранитидина таблетки покрытые оболочкой 0.15 г,1,Product Group
Раптен Дуо,1,Product Group
Раптен рапид,1,Product Group
"раствор для внутривенного введения 0,1 мг/мл, 1 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором/ - коробки картонные",1,Local Pack Description
"раствор для внутривенного введения 0.1 мг/мл, 1 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором/ - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 0.25 мг/мл, 1 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором/ - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 0.5 мг/мл, 1 мл - флаконы - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 0.5 мг/мл, 1 мл - флаконы темного стекла - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 0.5 мг/мл, 2 мл - флаконы - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 0.5 мг/мл, 2 мл - флаконы темного стекла - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 0.5 ммоль/мл, 1 шт., 10 мл - флаконы (10) - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 0.5 ммоль/мл, 1 шт., 15 мл - флаконы (10) - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 0.5 ммоль/мл, 1 шт., 20 мл - флаконы (10) - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 1 мг/мл, 5 мл - ампулы (5) - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 1 мг/мл, 5 мл - флакон (1) - пачка картонная",1,Local Pack Description
"раствор для внутривенного введения 1 мг/мл, 5 мл - флаконы (1) - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 1 мг/мл, 5 мл - флаконы - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 1 мг/мл, ампула 5 мл, 10 шт. - блистеры (1) - пачка картонная",1,Local Pack Description
"раствор для внутривенного введения 1 ммоль/мл, 15 мл - флаконы (5) - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 1 ммоль/мл, 30 мл - флаконы (1) - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 1 ммоль/мл, 5 мл - шприцы (5) - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 1 ммоль/мл, 7,5 мл - шприцы (5) - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 10 000 КИЕ/мл, 10мл - ампулы (5) - упаковки контурные пластиковые (поддоны) (5) - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 10 мг/мл, 1 шт., 2 мл - ампулы (5) - упаковки контурные пластиковые (поддоны) (2) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 10 мг/мл, 1 шт., 2 мл - ампулы (5) - упаковки контурные пластиковые (поддоны) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 10 мг/мл, 1 шт., 5 мл - ампулы (5) - упаковки контурные пластиковые (поддоны) (2) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 10 мг/мл, 1 шт., 5 мл - ампулы (5) - упаковки контурные пластиковые (поддоны) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 10 мг/мл, 5 мл - флаконы (10) - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 10 мг/мл, 5 мл - флаконы (12) - пачки картонные (для стационаров)",1,Local Pack Description
"раствор для внутривенного введения 100 мг/мл (в РУ - 400 мг/4 мл), 4 мл - ампулы (15) - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 100 мг/мл (в РУ - 400 мг/4 мл), 4 мл - ампулы (5) - упаковки ячейковые контурные (3) - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 100 мг/мл, 5 мл - флаконы (12) - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 150 мг/мл, 200 мл - бутылки для крови и кровезаменителей",1,Local Pack Description
"раствор для внутривенного введения 150 мг/мл, 200 мл - бутылки для крови и кровезаменителей (28) - коробки картонные",1,Local Pack Description
"раствор для внутривенного введения 2 мкг/мл, 0.5 мл - ампулы темного стекла (10) - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 2,5 мг/мл, 2 мл - ампулы (5) - контурная ячейковая упаковка (2) - пачка картонная",1,Local Pack Description
"раствор для внутривенного введения 2,5 мг/мл, 2 мл - ампулы (5) - упаковки ячейковые контурные (2) - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 2.5 мг/мл, 2 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 2.5 мг/мл, 2 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором/ - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 2.5 мг/мл, 2 мл - ампулы (5) - поддоны картонные (1) или блистеры из ПВХ или полистирола (1) - пачки картонные.",1,Local Pack Description
"раствор для внутривенного введения 2.5 мг/мл, 2 мл - ампулы (5) - поддоны картонные - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 2.5 мг/мл, 2 мл - ампулы (5) - упаковки ячейковые контурные (2) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 20 мг/мл, 5 мл - ампулы (5) - упаковки ячейковые контурные - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 200 мг/мл, 10 мл - ампулы (5) - поддоны картонные (1) - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 200 мг/мл, 10 мл - ампулы (5) - поддоны картонные - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 24 мг/мл, 1 шт., 5 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 24 мг/мл, 10 мл - ампулы (10) /с ножом ампульным или скарификатором по необходимости/ - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 24 мг/мл, 10 мл - ампулы (5) /со скарификатором ампульным по необходимости./ - упаковки ячейковые контурные (2) - пачки картонные",1,Local Pack Description
"раствор для внутривенного введения 24 мг/мл, 5 мл - ампулы (10) / в комплекте с ножом для вскрытия ампул - пачка картонная",1,Local Pack Description
"раствор для внутривенного введения 24 мг/мл, 5 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - пачки картонные оклеенные бандеролью",1,Local Pack Description
"раствор для внутривенного введения 24 мг/мл, 5 мл - ампулы (5) - упаковки кассетные контурные (2) - пачки картонные",1,Local Pack Description
