PCID,Country,Company,Local Product Name,Generic Name,Effective Start Date,Public With VAT Price,Reimbursement Category,Reimbursement Amount,Co-Pay Amount,Local Pack Description,LOCAL_PACK_CODE,Price Type,Interchangeable,Limited Use,Therapeutic Notes,Currency,Region
,,Jamp Pharma Corporation,,IRBESARTAN & HYDROCHLOROTHIAZIDE,,0.25,REIMBURSABLE WITH COPAY,0.23,0.02,Jamp-Irbesartan and Hydrochlorothiazide 150mg & 12.5mg Tab,02418223,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,IRBESARTAN & HYDROCHLOROTHIAZIDE,,0.25,REIMBURSABLE WITH COPAY,0.23,0.02,Jamp-Irbesartan and Hydrochlorothiazide 300mg & 12.5mg Tab,02418231,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,IRBESARTAN & HYDROCHLOROTHIAZIDE,,0.24,REIMBURSABLE WITH COPAY,0.22,0.02,Jamp-Irbesartan and Hydrochlorothiazide 300mg & 25mg Tab,02418258,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,IRBESARTAN & HYDROCHLOROTHIAZIDE,,0.25,REIMBURSABLE WITH COPAY,0.23,0.02,Mint Irbesartan/HCTZ 300mg & 12.5mg Tab,02393018,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,IRBESARTAN & HYDROCHLOROTHIAZIDE,,0.25,REIMBURSABLE WITH COPAY,0.23,0.02,Mint Irbesartan/HCTZ 150mg & 12.5mg Tab,02392992,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,IRBESARTAN & HYDROCHLOROTHIAZIDE,,0.24,REIMBURSABLE WITH COPAY,0.22,0.02,Mint Irbesartan/HCTZ 300mg & 25mg Tab,02393026,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,IRBESARTAN & HYDROCHLOROTHIAZIDE,,0.25,REIMBURSABLE WITH COPAY,0.23,0.02,PMS-Irbesartan-HCTZ 300mg & 12.5mg Tab,02328526,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,IRBESARTAN & HYDROCHLOROTHIAZIDE,,0.25,REIMBURSABLE WITH COPAY,0.23,0.02,PMS-Irbesartan-HCTZ 150mg & 12.5mg Tab,02328518,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,IRBESARTAN & HYDROCHLOROTHIAZIDE,,0.24,REIMBURSABLE WITH COPAY,0.22,0.02,PMS-Irbesartan-HCTZ 300mg & 25mg Tab,02328534,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Ranbaxy Pharmaceuticals Canada Inc.,,IRBESARTAN & HYDROCHLOROTHIAZIDE,,0.25,REIMBURSABLE WITH COPAY,0.23,0.02,Ran-Irbesartan HCTZ 150mg & 12.5mg Tab,02363208,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Ranbaxy Pharmaceuticals Canada Inc.,,IRBESARTAN & HYDROCHLOROTHIAZIDE,,0.24,REIMBURSABLE WITH COPAY,0.22,0.02,Ran-Irbesartan HCTZ 300mg & 25mg Tab,02363224,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Ranbaxy Pharmaceuticals Canada Inc.,,IRBESARTAN & HYDROCHLOROTHIAZIDE,,0.25,REIMBURSABLE WITH COPAY,0.23,0.02,Ran-Irbesartan HCTZ 300mg & 12.5mg Tab,02363216,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,IRBESARTAN & HYDROCHLOROTHIAZIDE,,0.24,REIMBURSABLE WITH COPAY,0.22,0.02,Sandoz Irbesartan HCT 300mg & 25mg Tab,02337444,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,IRBESARTAN & HYDROCHLOROTHIAZIDE,,0.25,REIMBURSABLE WITH COPAY,0.23,0.02,Sandoz Irbesartan HCT 150mg & 12.5mg Tab,02337428,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,IRBESARTAN & HYDROCHLOROTHIAZIDE,,0.25,REIMBURSABLE WITH COPAY,0.23,0.02,Sandoz Irbesartan HCT 300mg & 12.5mg Tab,02337436,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,IRBESARTAN & HYDROCHLOROTHIAZIDE,,0.25,REIMBURSABLE WITH COPAY,0.23,0.02,Teva-Irbesartan HCTZ 150mg & 12.5mg Tab,02330512,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,IRBESARTAN & HYDROCHLOROTHIAZIDE,,0.25,REIMBURSABLE WITH COPAY,0.23,0.02,Teva-Irbesartan HCTZ 300mg & 12.5mg Tab,02330520,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,IRBESARTAN & HYDROCHLOROTHIAZIDE,,0.24,REIMBURSABLE WITH COPAY,0.22,0.02,Teva-Irbesartan HCTZ 300mg & 25mg Tab,02330539,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,IRON SUCROSE,,29.70,REIMBURSABLE WITH COPAY,27.50,2.20,PMS-Iron Sucrose (Off-Formulary Interchangeable) 20mg/mL Inj Sol-5mL Pk (Preservative-Free),02502917,PACK,YES,NO,NO,CAD,NORTH AMERICA
,,Luitpold Pharmaceuticals Inc.,,IRON SUCROSE,,,NON REIMBURSABLE,,,Venofer (Off-Formulary Interchangeable) 20mg/mL Inj Sol-5mL Pk (Preservative-Free),02243716,PACK,YES,NO,NO,CAD,NORTH AMERICA
,,Medical Futures Inc.,,ISOPROPYL MYRISTATE,,13.66,REIMBURSABLE WITH COPAY,12.65,1.01,Resultz 50% Top Sol-120mL Pk,09857292,PACK,NO,NO,NO,CAD,NORTH AMERICA
,,Aralez Pharmaceuticals Canada Inc.,,ISOPROPYL MYRISTATE,,26.63,REIMBURSABLE WITH COPAY,24.66,1.97,Resultz 50% Top Sol-240mL Pk,02279592,PACK,NO,NO,NO,CAD,NORTH AMERICA
,,A A Pharma Inc.,,ISOSORBIDE DINITRATE,,0.07,REIMBURSABLE WITH COPAY,0.06,0.01,ISDN 5mg SL Tab,00670944,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Wyeth Pharmaceuticals,,ISOSORBIDE DINITRATE,,,NON REIMBURSABLE,,,Isordil (Not a Benefit) 5mg SL Tab,02042606,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,A A Pharma Inc.,,ISOSORBIDE DINITRATE,,0.12,REIMBURSABLE WITH COPAY,0.11,0.01,ISDN 30mg Tab,00441694,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,A A Pharma Inc.,,ISOSORBIDE DINITRATE,,0.05,REIMBURSABLE WITH COPAY,0.05,0.00,ISDN 10mg Tab,00441686,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Wyeth Pharmaceuticals,,ISOSORBIDE DINITRATE,,,NON REIMBURSABLE,,,Isordil (Not a Benefit) 30mg Tab,02042614,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Wyeth Pharmaceuticals,,ISOSORBIDE DINITRATE,,,NON REIMBURSABLE,,,Isordil (Not a Benefit) 10mg Tab,02042622,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ISOSORBIDE-5-MONONITRATE,,0.53,REIMBURSABLE WITH COPAY,0.49,0.04,Apo-ISMN (Off-Formulary Interchangeable) 60mg ER Tab,02272830,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,AstraZeneca,,ISOSORBIDE-5-MONONITRATE,,,NON REIMBURSABLE,,,Imdur (Off-Formulary Interchangeable) 60mg ER Tab,02126559,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,ISOSORBIDE-5-MONONITRATE,,0.53,REIMBURSABLE WITH COPAY,0.49,0.04,PMS-ISMN (Off-Formulary Interchangeable) 60mg ER Tab,02301288,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Hoffmann-La Roche Limited,,ISOTRETINOIN,,1.03,REIMBURSABLE WITH COPAY,0.93,0.10,Accutane 10mg Cap,00582344,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Hoffmann-La Roche Limited,,ISOTRETINOIN,,2.10,REIMBURSABLE WITH COPAY,1.90,0.20,Accutane 40mg Cap,00582352,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Mylan Pharmaceuticals ULC,,ISOTRETINOIN,,2.05,REIMBURSABLE WITH COPAY,1.90,0.15,Clarus 40mg Cap,02257963,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Mylan Pharmaceuticals ULC,,ISOTRETINOIN,,1.01,REIMBURSABLE WITH COPAY,0.93,0.07,Clarus 10mg Cap,02257955,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Cipher Pharmaceuticals Inc.,,ISOTRETINOIN,,1.63,REIMBURSABLE WITH COPAY,1.51,0.12,Epuris 10mg Cap,02396971,UNIT,NO,NO,YES,CAD,NORTH AMERICA
,,Cipher Pharmaceuticals Inc.,,ISOTRETINOIN,,2.26,REIMBURSABLE WITH COPAY,2.09,0.17,Epuris 20mg Cap,02396998,UNIT,NO,NO,YES,CAD,NORTH AMERICA
,,Cipher Pharmaceuticals Inc.,,ISOTRETINOIN,,2.84,REIMBURSABLE WITH COPAY,2.63,0.21,Epuris 30mg Cap,02397005,UNIT,NO,NO,YES,CAD,NORTH AMERICA
,,Cipher Pharmaceuticals Inc.,,ISOTRETINOIN,,3.33,REIMBURSABLE WITH COPAY,3.09,0.25,Epuris 40mg Cap,02397013,UNIT,NO,NO,YES,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,ITRACONAZOLE,,4.24,REIMBURSABLE WITH COPAY,3.93,0.31,Mint-Itraconazole 100mg Cap,02462559,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Janssen Inc.,,ITRACONAZOLE,,7.21,REIMBURSABLE WITH COPAY,3.93,3.28,Sporanox 100mg Cap,02047454,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,ITRACONAZOLE,,0.44,REIMBURSABLE WITH COPAY,0.41,0.03,Jamp Itraconazole Oral Solution 10mg/mL Oral Sol,02484315,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Odan Laboratories Ltd.,,ITRACONAZOLE,,0.44,REIMBURSABLE WITH COPAY,0.41,0.03,Odan-Itraconazole 10mg/mL Oral Sol,02495988,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Janssen Inc.,,ITRACONAZOLE,,,NON REIMBURSABLE,,,Sporanox (Not a Benefit) 10mg/mL Oral Sol,02231347,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Servier Canada Inc.,,IVABRADINE HCL,,1.80,REIMBURSABLE WITH COPAY,1.67,0.13,Lancora 7.5mg Tab,02459981,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Servier Canada Inc.,,IVABRADINE HCL,,0.99,REIMBURSABLE WITH COPAY,0.91,0.07,Lancora 5mg Tab,02459973,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Eli Lilly Canada Inc.,,IXEKIZUMAB,,2092.91,REIMBURSABLE WITH COPAY,1937.88,155.03,Taltz 80mg/mL Inj Sol-Pref Autoinj,02455102,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Eli Lilly Canada Inc.,,IXEKIZUMAB,,2107.18,REIMBURSABLE WITH COPAY,1951.09,156.09,Taltz 80mg/mL Inj Sol-Pref Syr,02455110,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Taro Pharmaceuticals Inc.,,KETOCONAZOLE,,0.44,REIMBURSABLE WITH COPAY,0.40,0.03,Ketoderm 2% Cr,02245662,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Janssen Inc.,,KETOCONAZOLE,,,NON REIMBURSABLE,,,Nizoral (Not a Benefit) 2% Cr,00703974,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Apotex Inc.,,KETOCONAZOLE,,1.01,REIMBURSABLE WITH COPAY,0.94,0.08,Apo-Ketoconazole 200mg Tab,02237235,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Janssen Inc.,,KETOCONAZOLE,,,NON REIMBURSABLE,,,Nizoral (Not a Benefit) 200mg Tab,00633836,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Teva Canada Limited,,KETOCONAZOLE,,1.01,REIMBURSABLE WITH COPAY,0.94,0.08,Teva-Ketoconazole 200mg Tab,02231061,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,A A Pharma Inc.,,KETOPROFEN,,0.37,REIMBURSABLE WITH COPAY,0.34,0.03,Ketoprofen 50mg Cap,00790427,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Rhone-Poulenc Rorer-Ethical Division,,KETOPROFEN,,,NON REIMBURSABLE,,,Orudis (Not a Benefit) 50mg Cap,01926403,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,A A Pharma Inc.,,KETOPROFEN,,0.75,REIMBURSABLE WITH COPAY,0.70,0.06,Ketoprofen-E 100mg Ent Tab,00842664,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,A A Pharma Inc.,,KETOPROFEN,,0.36,REIMBURSABLE WITH COPAY,0.34,0.03,Ketoprofen-E 50mg Ent Tab,00790435,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Rhone-Poulenc Rorer-Ethical Division,,KETOPROFEN,,,NON REIMBURSABLE,,,Orudis E-100 (Not a Benefit) 100mg Ent Tab,01926365,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Rhone-Poulenc Rorer-Ethical Division,,KETOPROFEN,,,NON REIMBURSABLE,,,Orudis E-50 (Not a Benefit) 50mg Ent Tab,01926381,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Sanofi Aventis Pharma,,KETOPROFEN,,,NON REIMBURSABLE,,,Rhodis-EC (Not a Benefit) 100mg Ent Tab,00761680,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,A A Pharma Inc.,,KETOPROFEN,,1.50,REIMBURSABLE WITH COPAY,1.39,0.11,Ketoprofen SR 200mg LA Tab,02172577,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Rhone-Poulenc Rorer-Ethical Division,,KETOPROFEN,,,NON REIMBURSABLE,,,Orudis SR-200 (Not a Benefit) 200mg LA Tab,01926373,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Allergan Inc.,,KETOROLAC TROMETHAMINE,,3.97,REIMBURSABLE WITH COPAY,2.90,1.07,Acular 0.5% Oph Sol,01968300,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,A A Pharma Inc.,,KETOROLAC TROMETHAMINE,,3.13,REIMBURSABLE WITH COPAY,2.90,0.23,Ketorolac 0.5% Oph Sol,02245821,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,AbbVie Corporation,,KETOROLAC TROMETHAMINE,,0.28,REIMBURSABLE WITH COPAY,0.26,0.02,Acuvail 0.45% w/v Oph Sol-0.4mL Vial Pk (Preservative-Free),02369362,PACK,NO,NO,YES,CAD,NORTH AMERICA
,,Apotex Inc.,,KETOROLAC TROMETHAMINE,,0.65,REIMBURSABLE WITH COPAY,0.60,0.05,Apo-Ketorolac (Off-Formulary Interchangeable) 10mg Tab,02229080,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,KETOROLAC TROMETHAMINE,,0.65,REIMBURSABLE WITH COPAY,0.60,0.05,Jamp Ketorolac (Off-Formulary Interchangeable) 10mg Tab,02510855,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Marcan Pharmaceuticals Inc.,,KETOROLAC TROMETHAMINE,,0.65,REIMBURSABLE WITH COPAY,0.60,0.05,Mar-Ketorolac (Off-Formulary Interchangeable) 10mg Tab,02465124,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,KETOROLAC TROMETHAMINE,,0.65,REIMBURSABLE WITH COPAY,0.60,0.05,Mint-Ketorolac (Off-Formulary Interchangeable) 10mg Tab,02461455,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,A A Pharma Inc.,,KETOROLAC TROMETHAMINE,,,NON REIMBURSABLE,,,Toradol (Off-Formulary Interchangeable) 10mg Tab,02162660,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,KETOTIFEN,,27.84,REIMBURSABLE WITH COPAY,25.78,2.06,Jamp Ketotifen Ophthalmic (Off-Formulary Interchangeable) 0.25mg/mL Oph Sol-5mL Pk,02542722,PACK,YES,NO,NO,CAD,NORTH AMERICA
,,Sterimax Inc.,,KETOTIFEN,,22.86,REIMBURSABLE WITH COPAY,21.17,1.69,Ketotifen Ophthalmic Solution (Off-Formulary Interchangeable) 0.25mg/mL Oph Sol-5mL Pk,02400871,PACK,YES,NO,NO,CAD,NORTH AMERICA
,,Laboratoires Thea,,KETOTIFEN,,,NON REIMBURSABLE,,,Zaditor (Off-Formulary Interchangeable) 0.25mg/mL Oph Sol-5mL Pk,02242324,PACK,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,LABETALOL HCL,,0.38,REIMBURSABLE WITH COPAY,0.35,0.03,Apo-Labetalol 200mg Tab,02243539,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,LABETALOL HCL,,0.21,REIMBURSABLE WITH COPAY,0.20,0.02,Apo-Labetalol 100mg Tab,02243538,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Laboratoire Riva Inc.,,LABETALOL HCL,,0.38,REIMBURSABLE WITH COPAY,0.35,0.03,Riva-Labetalol 200mg Tab,02489414,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Laboratoire Riva Inc.,,LABETALOL HCL,,0.21,REIMBURSABLE WITH COPAY,0.20,0.02,Riva-Labetalol 100mg Tab,02489406,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Paladin Pharma Inc.,,LABETALOL HCL,,0.44,REIMBURSABLE WITH COPAY,0.20,0.24,Trandate 100mg Tab,02106272,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Paladin Pharma Inc.,,LABETALOL HCL,,0.77,REIMBURSABLE WITH COPAY,0.35,0.42,Trandate 200mg Tab,02106280,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Accord Healthcare Inc.,,LACOSAMIDE,,1.57,REIMBURSABLE WITH COPAY,1.45,0.12,Ach-Lacosamide 200mg Tab,02489317,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Accord Healthcare Inc.,,LACOSAMIDE,,1.27,REIMBURSABLE WITH COPAY,1.18,0.09,Ach-Lacosamide 150mg Tab,02489309,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Accord Healthcare Inc.,,LACOSAMIDE,,0.68,REIMBURSABLE WITH COPAY,0.63,0.05,Ach-Lacosamide 50mg Tab,02489287,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Accord Healthcare Inc.,,LACOSAMIDE,,0.94,REIMBURSABLE WITH COPAY,0.88,0.07,Ach-Lacosamide 100mg Tab,02489295,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Auro Pharma Inc.,,LACOSAMIDE,,0.94,REIMBURSABLE WITH COPAY,0.88,0.07,Auro-Lacosamide 100mg Tab,02475340,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Auro Pharma Inc.,,LACOSAMIDE,,0.68,REIMBURSABLE WITH COPAY,0.63,0.05,Auro-Lacosamide 50mg Tab,02475332,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Auro Pharma Inc.,,LACOSAMIDE,,1.57,REIMBURSABLE WITH COPAY,1.45,0.12,Auro-Lacosamide 200mg Tab,02475367,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Auro Pharma Inc.,,LACOSAMIDE,,1.27,REIMBURSABLE WITH COPAY,1.18,0.09,Auro-Lacosamide 150mg Tab,02475359,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,LACOSAMIDE,,0.94,REIMBURSABLE WITH COPAY,0.88,0.07,Jamp-Lacosamide 100mg Tab,02488396,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,LACOSAMIDE,,1.57,REIMBURSABLE WITH COPAY,1.45,0.12,Jamp-Lacosamide 200mg Tab,02488426,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,LACOSAMIDE,,0.68,REIMBURSABLE WITH COPAY,0.63,0.05,Jamp-Lacosamide 50mg Tab,02488388,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,LACOSAMIDE,,1.27,REIMBURSABLE WITH COPAY,1.18,0.09,Jamp-Lacosamide 150mg Tab,02488418,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Sanis Health Inc.,,LACOSAMIDE,,0.94,REIMBURSABLE WITH COPAY,0.88,0.07,Lacosamide 100mg Tab,02512882,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Sanis Health Inc.,,LACOSAMIDE,,0.68,REIMBURSABLE WITH COPAY,0.63,0.05,Lacosamide 50mg Tab,02512874,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Sanis Health Inc.,,LACOSAMIDE,,1.27,REIMBURSABLE WITH COPAY,1.18,0.09,Lacosamide 150mg Tab,02512890,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Sanis Health Inc.,,LACOSAMIDE,,1.57,REIMBURSABLE WITH COPAY,1.45,0.12,Lacosamide 200mg Tab,02512904,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,LACOSAMIDE,,0.94,REIMBURSABLE WITH COPAY,0.88,0.07,Mint-Lacosamide 100mg Tab,02490552,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,LACOSAMIDE,,0.68,REIMBURSABLE WITH COPAY,0.63,0.05,Mint-Lacosamide 50mg Tab,02490544,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,LACOSAMIDE,,1.57,REIMBURSABLE WITH COPAY,1.45,0.12,Mint-Lacosamide 200mg Tab,02490579,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,LACOSAMIDE,,1.27,REIMBURSABLE WITH COPAY,1.18,0.09,Mint-Lacosamide 150mg Tab,02490560,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Nora Pharma,,LACOSAMIDE,,1.57,REIMBURSABLE WITH COPAY,1.45,0.12,NRA-Lacosamide 200mg Tab,02499592,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Nora Pharma,,LACOSAMIDE,,1.27,REIMBURSABLE WITH COPAY,1.18,0.09,NRA-Lacosamide 150mg Tab,02499584,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Nora Pharma,,LACOSAMIDE,,0.94,REIMBURSABLE WITH COPAY,0.88,0.07,NRA-Lacosamide 100mg Tab,02499576,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Nora Pharma,,LACOSAMIDE,,0.68,REIMBURSABLE WITH COPAY,0.63,0.05,NRA-Lacosamide 50mg Tab,02499568,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,LACOSAMIDE,,1.57,REIMBURSABLE WITH COPAY,1.45,0.12,Pharma-Lacosamide 200mg Tab,02478234,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,LACOSAMIDE,,0.68,REIMBURSABLE WITH COPAY,0.63,0.05,Pharma-Lacosamide 50mg Tab,02478196,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,LACOSAMIDE,,0.94,REIMBURSABLE WITH COPAY,0.88,0.07,Pharma-Lacosamide 100mg Tab,02478218,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,LACOSAMIDE,,1.27,REIMBURSABLE WITH COPAY,1.18,0.09,Pharma-Lacosamide 150mg Tab,02478226,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,LACOSAMIDE,,1.27,REIMBURSABLE WITH COPAY,1.18,0.09,Sandoz Lacosamide 150mg Tab,02474697,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,LACOSAMIDE,,0.68,REIMBURSABLE WITH COPAY,0.63,0.05,Sandoz Lacosamide 50mg Tab,02474670,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,LACOSAMIDE,,0.94,REIMBURSABLE WITH COPAY,0.88,0.07,Sandoz Lacosamide 100mg Tab,02474689,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,LACOSAMIDE,,1.57,REIMBURSABLE WITH COPAY,1.45,0.12,Sandoz Lacosamide 200mg Tab,02474700,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,LACOSAMIDE,,1.27,REIMBURSABLE WITH COPAY,1.18,0.09,Teva-Lacosamide 150mg Tab,02472929,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,LACOSAMIDE,,0.68,REIMBURSABLE WITH COPAY,0.63,0.05,Teva-Lacosamide 50mg Tab,02472902,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,LACOSAMIDE,,0.94,REIMBURSABLE WITH COPAY,0.88,0.07,Teva-Lacosamide 100mg Tab,02472910,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,LACOSAMIDE,,1.57,REIMBURSABLE WITH COPAY,1.45,0.12,Teva-Lacosamide 200mg Tab,02472937,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,UCB Canada Inc.,,LACOSAMIDE,,2.73,REIMBURSABLE WITH COPAY,0.63,2.10,Vimpat 50mg Tab,02357615,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,UCB Canada Inc.,,LACOSAMIDE,,6.26,REIMBURSABLE WITH COPAY,1.45,4.81,Vimpat 200mg Tab,02357658,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,UCB Canada Inc.,,LACOSAMIDE,,5.08,REIMBURSABLE WITH COPAY,1.18,3.91,Vimpat 150mg Tab,02357631,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,UCB Canada Inc.,,LACOSAMIDE,,3.78,REIMBURSABLE WITH COPAY,0.88,2.90,Vimpat 100mg Tab,02357623,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Zydus Pharmaceuticals (Canada) Inc.,,LACOSAMIDE,,1.57,REIMBURSABLE WITH COPAY,1.45,0.12,ZDS-Lacosamide 200mg Tab,02487837,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Zydus Pharmaceuticals (Canada) Inc.,,LACOSAMIDE,,1.27,REIMBURSABLE WITH COPAY,1.18,0.09,ZDS-Lacosamide 150mg Tab,02487829,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Zydus Pharmaceuticals (Canada) Inc.,,LACOSAMIDE,,0.94,REIMBURSABLE WITH COPAY,0.88,0.07,ZDS-Lacosamide 100mg Tab,02487810,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Zydus Pharmaceuticals (Canada) Inc.,,LACOSAMIDE,,0.68,REIMBURSABLE WITH COPAY,0.63,0.05,ZDS-Lacosamide 50mg Tab,02487802,UNIT,YES,YES,NO,CAD,NORTH AMERICA
