DIN,Product,Manufacturer,Format,Cost,UnitPrice
02212161,Imitrex,DF GSK,6,92.38,15.3967
02545365,JAMP,Sumatriptan Jamp,6,18.33,3.0549
02545314,JAMP,Sumatriptan DF Jamp,6,18.33,3.0549
02268922,Mylan-Sumatriptan,Mylan,6,18.33,3.0549
02256444,pms-Sumatriptan,Phmscience,6,18.33,3.0549
02263033,Sandoz,Sumatriptan Sandoz,6,18.33,3.0549
02324660,Sumatriptan,Pro Doc,6,18.33,3.0549
02286548,Sumatriptan,Sanis,6,18.33,3.0549
02546043,Sumatriptan,Sivem,6,18.33,3.0549
02385589,Sumatriptan,DF Sivem,6,18.33,3.0549
02239367,Teva-Sumatriptan,Teva Can,6,18.33,3.0549
02286831,Teva-Sumatriptan,DF Teva Can,6,18.33,3.0549
99000598,Imitrex,Stat Dose GSK,2,73.24,36.6200
02361698,Taro-Sumatriptan,Taro,2,66.35,33.1750
02212188,Imitrex,Stat Dose GSK,1,81.32,81.3200
02481030,Auro-Zolmitriptan,AuroPharma,6,10.52,1.7532
02512831,Bio-Zolmitriptan,Biomed,6,10.52,1.7532
02421623,Jamp-Zolmitriptan,Jamp,6,10.52,1.7532
02477106,Jamp-Zolmitriptan,Jamp,6,10.52,1.7532
02428237,Jamp-Zolmitriptan,ODT Jamp,6,10.52,1.7532
02399458,Mar-Zolmitriptan,Marcan,6,10.52,1.7532
02419521,Mint-Zolmitriptan,Mint,6,10.52,1.7532
02421534,NAT-Zolmitriptan,Natco,6,10.52,1.7532
02489392,NRA-Zolmitriptan,Nora,6,10.52,1.7532
02362988,Sandoz,Zolmitriptan Sandoz,3,5.26,1.7532
02362996,Sandoz,Zolmitriptan ODT Sandoz,2,3.51,1.7532
02313960,Teva,Zolmitriptan Teva Can,6,10.52,1.7532
02342545,Teva Zolmitriptan,OD Teva Can,6,10.52,1.7532
02442655,Zolmitriptan,Sanis,6,10.52,1.7532
02442671,Zolmitriptan,ODT Sanis,6,10.52,1.7532
02238660,Zomig,Xediton,6,83.10,13.8500
02243045,Zomig,Rapimelt Xediton,6,83.10,13.8500
02248993,Zomig,Xediton,6,83.10,13.8500
00511552,Sandomigran,DS Paladin,100,62.83,0.6283
01927744,Parsitan,Search Phm,100,19.53,0.1953
00522597,Prolopa,50/12.5 Roche,100,27.87,0.2787
00386464,Prolopa,100/25 Roche,100,45.88,0.4588
02305933,Stalevo,Sandoz,100,160.05,1.6005
02337827,Stalevo,Sandoz,100,160.05,1.6005
02305941,Stalevo,Sandoz,100,160.05,1.6005
02337835,Stalevo,Sandoz,100,160.05,1.6005
02305968,Stalevo,Sandoz,100,160.05,1.6005
01990403,PDP-Amantadine,Pendopharm,100,52.52,0.5252
00706531,PDP-Benztropine,Pendopharm,1000,52.20,0.0522
00545058,Trihexyphenidyl,AA Pharma,100,3.76,0.0376
00545074,Trihex,AA Pharma,100,6.81,0.0681
02321459,Apo-Entacapone,Apotex,100,40.10,0.4010
02243763,Comtan,Sandoz,100,151.92,1.5192
02535939,Mint-Entacapone,Mint,100,40.10,0.4010
02380005,Sandoz,Entacapone Sandoz,100,40.10,0.4010
02375559,Teva,Entacapone Teva Can,100,40.10,0.4010
02195933,Apo-Levocarb,Apotex,100,10.87,0.1087
02531593,Auro-Levocarb,AuroPharma,100,10.87,0.1087
02546396,JAMP,Levocarb Jamp,100,10.87,0.1087
02244494,Novo-Levocarbidopa,Novopharm,100,10.87,0.1087
02549719,pms-Levodopa-Carbidopa,Phmscience,100,10.87,0.1087
02551365,AG-Levocarb,Angita,500,81.15,0.1623
02195941,Apo-Levocarb,Apotex,100,16.23,0.1623
02531607,Auro-Levocarb,AuroPharma,100,16.23,0.1623
02546418,JAMP,Levocarb Jamp,100,16.23,0.1623
02457962,Mint-Levocarb,Mint,100,16.23,0.1623
02244495,Novo-Levocarbidopa,Novopharm,100,16.23,0.1623
02549727,pms-Levodopa-Carbidopa,Phmscience,100,16.23,0.1623
02311178,Pro-Levocarb-100/25,Pro Doc,100,16.23,0.1623
02272873,Levocarb,CR AA Pharma,100,79.74,0.7974
02245211,Levocarb,CR AA Pharma,100,142.82,1.4282
02230454,Bromocriptine,AA Pharma,100,152.51,1.5251
02087324,Bromocriptine,AA Pharma,100,101.88,1.0188
02297302,Act,Pramipexole Teva Can,100,19.50,0.1950
02292378,Apo-Pramipexole,Apotex,100,19.50,0.1950
02424061,Auro-Pramipexole,AuroPharma,100,19.50,0.1950
02237145,Mirapex,Bo. Ing.,100,105.13,1.0513
02325802,Pramipexole,Pro Doc,100,19.50,0.1950
02367602,Pramipexole,Sanis,100,19.50,0.1950
02309122,Pramipexole,Sivem,100,19.50,0.1950
02315262,Sandoz,Pramipexole Sandoz,100,19.50,0.1950
02297310,Act,Pramipexole Teva Can,100,40.18,0.4018
02292386,Apo-Pramipexole,Apotex,100,40.18,0.4018
02424088,Auro-Pramipexole,AuroPharma,100,40.18,0.4018
02325810,Pramipexole,Pro Doc,100,40.18,0.4018
02367610,Pramipexole,Sanis,100,40.18,0.4018
02309130,Pramipexole,Sivem,100,40.18,0.4018
02315270,Sandoz,Pramipexole Sandoz,100,40.18,0.4018
02297329,Act,Pramipexole Teva Can,100,39.01,0.3901
02292394,Apo-Pramipexole,Apotex,100,39.01,0.3901
02424096,Auro-Pramipexole,AuroPharma,100,39.01,0.3901
02325829,Pramipexole,Pro Doc,100,39.01,0.3901
02367629,Pramipexole,Sanis,100,39.01,0.3901
02309149,Pramipexole,Sivem,100,39.01,0.3901
02315289,Sandoz,Pramipexole Sandoz,100,39.01,0.3901
02297337,Act,Pramipexole Teva Can,100,39.01,0.3901
02292408,Apo-Pramipexole,Apotex,100,39.01,0.3901
02424118,Auro-Pramipexole,AuroPharma,100,39.01,0.3901
02325837,Pramipexole,Pro Doc,100,39.01,0.3901
02367645,Pramipexole,Sanis,100,39.01,0.3901
02309157,Pramipexole,Sivem,100,39.01,0.3901
02315297,Sandoz,Pramipexole Sandoz,100,39.01,0.3901
02314037,Ran-Ropinirole,Ranbaxy,100,14.41,0.1441
02316846,Teva-Ropinirole,Teva Can,100,14.41,0.1441
02314053,Ran-Ropinirole,Ranbaxy,100,57.62,0.5762
02316854,Teva-Ropinirole,Teva Can,100,57.62,0.5762
02314061,Ran-Ropinirole,Ranbaxy,100,63.38,0.6338
02316862,Teva-Ropinirole,Teva Can,100,63.38,0.6338
02314088,Ran-Ropinirole,Ranbaxy,100,85.96,0.8596
02316870,Teva-Ropinirole,Teva Can,100,85.96,0.8596
02484641,Onstryv,Valeo,30,207.00,6.9000
02484668,Onstryv,Valeo,30,207.00,6.9000
02230641,Selegiline,AA Pharma,100,50.21,0.5021
02068087,Teva-Sélégiline,Teva Can,60,30.13,0.5021
02449153,Auro-Betahistine,AuroPharma,100,11.06,0.1106
02466449,Betahistine,Sanis,100,11.06,0.1106
02519690,M-Betahistine,Mantra Ph.,100,11.06,0.1106
02538148,Mint-Betahistine,Mint,100,11.06,0.1106
02544938,NRA-Betahistine,Nora,30,3.32,0.1106
02330210,pms-Betahistine,Phmscience,100,11.06,0.1106
02243878,Serc,BGP Pharma,100,45.99,0.4599
02280191,Teva-Betahistine,Teva Can,100,11.06,0.1106
02449161,Auro-Betahistine,AuroPharma,100,16.59,0.1659
02466457,Betahistine,Sanis,100,16.59,0.1659
02519704,M-Betahistine,Mantra Ph.,100,16.59,0.1659
02538156,Mint-Betahistine,Mint,100,16.59,0.1659
02544946,NRA-Betahistine,Nora,30,4.98,0.1659
02330237,pms-Betahistine,Phmscience,100,16.59,0.1659
02247998,Serc,BGP Pharma,100,68.97,0.6897
02280205,Teva-Betahistine,Teva Can,100,16.59,0.1659
02407590,Apo-Tetrabenazine,Apotex,100,166.69,1.6669
02410338,Comprimés,de Sterimax,112,186.69,1.6669
02199270,Nitoman,Bausch H.,112,699.92,6.2493
02402424,pms-Tetrabenazine,Phmscience,100,166.69,1.6669
99114132,CoaguChek PT,Test Roche Diag,48,297.60,6.2000
99101324,CoaguChek XS PT,Test Roche Diag,6,37.20,6.2000
99113493,CoaguChek XS PT,Test Roche Diag,6,37.20,6.2000
99100929,FreeStyle,Precision Abbott,10,19.50,1.9500
99004879,Precision Xtra,(Cétone) Ab Diabete,10,15.06,1.5060
99002884,Accu-Chek,Advantage Roche SD,50,40.80,0.8160
99100214,Accu-Chek,Aviva Roche SD,50,40.80,0.8160
99004364,Accu-Chek,Compact Roche SD,51,41.62,0.8161
99101387,Accu-Chek,Guide Roche SD,50,34.07,0.6814
99100791,Accu-Chek,Mobile Roche SD,100,71.25,0.7125
99101011,Bravo,DEXmedical,100,39.99,0.3999
99101275,CareSens,N I-Sens,100,50.00,0.5000
99100096,Contour,Ascensia,50,40.81,0.8162
99100849,Contour,NEXT Ascensia,100,69.89,0.6989
99101233,Fora,Test N'GO TaiDoc,50,25.00,0.5000
99100478,FreeStyle,Lite Ab Diabete,50,37.00,0.7400
99100928,FreeStyle,Precision Abbott,100,68.90,0.6890
99101090,GE200,Bionime,100,51.00,0.5100
99101184,Medi+Sure,Medisure,50,34.00,0.6800
99114045,MediSure,Empower Medisure,50,34.00,0.6800
99100787,OneTouch,Verio Lifescan,100,69.43,0.6943
99113794,Rapid,Response Gluco-MD BTNX,50,34.50,0.6900
99101313,Spirit Blood Glucose,Test Ara Pharm,100,50.00,0.5000
99101186,SureTest,Skymed,50,25.00,0.5000
99100413,TrueTrack,Nipro Diag,50,22.78,0.4556
99004240,Ultra,Lifescan,50,39.75,0.7950
00035149,Keto-Diastix,Ascensia,100,13.03,0.1303
00035092,Ketostix,Ascensia,50,6.06,0.1212
00035130,Diastix,Ascensia,50,5.44,0.1088
80030520,Jamp-Sodium,Bicarbonate Jamp,500,34.20,0.0684
80123328,M-Sodium,Bicarbonate Mantra Ph.,500,34.20,0.0684
80022194,Sandoz,Sodium Bicarbonate Sandoz,500,34.20,0.0684
80103904,AG-Calcium,500 mg Angita,500,10.80,0.0216
80076097,Alta-Cal,Altamed,500,10.80,0.0216
80066648,Bio-Calcium,Biomed,500,10.80,0.0216
80003773,Calcium,500 Trianon,100,2.16,0.0216
80067139,Calcium,Tablet Cellchem,60,1.30,0.0216
02237352,Euro-Cal,Sandoz,500,10.80,0.0216
80124033,i-Cal,500 InfoPharma,500,10.80,0.0216
02246040,Jamp-Calcium,Jamp,500,10.80,0.0216
80055526,MCal 500,mg Mantra Ph.,500,10.80,0.0216
80120791,Nora,Calcium Nora,500,10.80,0.0216
80001408,Novo-Calcium,Novopharm,500,10.80,0.0216
00618098,Nu-Cal,Odan,100,2.16,0.0216
80039952,Opus,Cal 500 Opus,500,10.80,0.0216
80001122,Pharma-Cal,500 mg Pendopharm,500,10.80,0.0216
80079608,Pro-Cal-500,Pro Doc,500,10.80,0.0216
80004143,Biocal-D,Biomed,500,14.45,0.0289
80017196,Cal-500-D,Pro Doc,500,14.45,0.0289
80004966,Calcite,D 500 Riva,100,2.89,0.0289
80004968,Calcium,D 500 Trianon,100,2.89,0.0289
02237351,Euro-Cal-D,Sandoz,500,14.45,0.0289
02246041,Jamp-Calcium+Vitamine,D Jamp,100,2.89,0.0289
80007304,O-Calcium 500,mg avec Novopharm,100,2.89,0.0289
80067149,Osteo,Tablet Cellchem,60,1.73,0.0289
80058042,Calcia,Plus Medexus,60,7.20,0.1200
80105524,AG-Calcium,D 800 Angita,60,7.20,0.1200
80015972,Calcite 500 +,D 800 Riva,30,3.60,0.1200
80083458,Calcium 500,Vitamine D800 Altamed,60,7.20,0.1200
80015847,Cal-Os,D Jamp,60,7.20,0.1200
80024378,LiquiCal-D,Mayaka,100,12.00,0.1200
80028413,Liqui-Jamp,Plus Jamp,120,14.40,0.1200
80019533,MCal,D800 Mantra Ph.,60,7.20,0.1200
80079933,Vitamin D,+ Calcium Cellchem,60,7.20,0.1200
80103511,AG-Calcium,Carbonate + Angita,60,7.20,0.1200
80101376,AG-Calcium D,400 Croq. Angita,60,7.20,0.1200
80101377,AG-Calcium D,400 foncé Angita,60,7.20,0.1200
80066647,Bio-Calcium-D,Biomed,60,7.20,0.1200
80012594,Biocal-D,Forte Biomed,60,7.20,0.1200
80090977,Bio-Cal-D3,Biomed,500,60.00,0.1200
80088060,Bio-Cal-D3,Forte Biomed,60,7.20,0.1200
80000159,Calcia,400 Medexus,60,7.20,0.1200
80004963,Calcite 500 +,D 400 Riva,60,7.20,0.1200
80004969,Calcium 500 +,D 400 Trianon,60,7.20,0.1200
80083997,Calcium 500,+ Vitamine Altamed,60,7.20,0.1200
80066082,Calcium 500,Vitamine D400 Altamed,60,7.20,0.1200
80066089,Calcium 500,Vitamine D400 Altamed,60,7.20,0.1200
80002901,Carbocal D 400,(Co. croq) Sandoz,60,7.20,0.1200
02245511,Carbocal D,400 (Co.) Sandoz,60,7.20,0.1200
80004545,Carbocal D,400 (Co.) Sandoz,60,7.20,0.1200
80131668,Dac Calcium 500 mg,+ Dac Pharma,60,7.20,0.1200
80124031,i-Cal,D400 InfoPharma,60,7.20,0.1200
80002122,Jamp-Calcium +,Vitamine D Jamp,60,7.20,0.1200
80025065,Jamp-Calcium +,Vitamine D Jamp,60,7.20,0.1200
80012435,Jamp-Calcium +,Vitamine D Jamp,500,60.00,0.1200
80002623,Jamp-Calcium+Vitamine,D Jamp,60,7.20,0.1200
80025360,J-Cal-D,400 Jamp,60,7.20,0.1200
80000408,LiquiCal,D 400 Mayaka,100,12.00,0.1200
80021961,Liqui-Jamp,Jamp,100,12.00,0.1200
80013329,MCal,D400 Mantra Ph.,60,7.20,0.1200
80009412,MCal D400 à,croquer Mantra Ph.,60,7.20,0.1200
80120783,Nora Cal-D 400,(bleu foncé) Nora,60,7.20,0.1200
80120785,Nora CAL-D 400,(bleu pâle) Nora,60,7.20,0.1200
80020974,Opus,Cal D-400 Opus,60,7.20,0.1200
80040634,Opus Cal D-400,Bleu Foncé Opus,60,7.20,0.1200
80059293,Pharma-Cal D 400,UI Foncé Phmscience,60,7.20,0.1200
80008566,Pro-Cal-D,400 Pro Doc,60,7.20,0.1200
80065914,Riva-Cal,D400 Riva,60,7.20,0.1200
80105522,AG-Calcium D,1000 Croq. Angita,60,7.20,0.1200
80101375,AG-Calcium D,1000 Jaune Angita,30,3.60,0.1200
80027407,Bio-CAL-D3,+ Biomed,30,3.60,0.1200
80025501,Calcite 500 +,D 1000 Riva,30,3.60,0.1200
80066093,Calcium,500 Vitamine Altamed,30,3.60,0.1200
80018540,Cal-Os,D 1000 Jamp,30,3.60,0.1200
80027625,Carbocal,D 1000 Sandoz,30,3.60,0.1200
80027787,Jamp-Calcium+Vitamine,D Jamp,60,7.20,0.1200
80025051,LiquiCal-D,Mayaka,100,12.00,0.1200
80028899,Liqui-Jamp,Fort Jamp,120,14.40,0.1200
80019536,MCal,D1000 Mantra Ph.,30,3.60,0.1200
80050701,MCal D1000 à,croquer Mantra Ph.,60,7.20,0.1200
80120728,Nora,CAL-D 1000 Nora,30,3.60,0.1200
80039162,Opus,Cal D-1000 Opus,30,3.60,0.1200
80072757,Riva-Cal,D1000 Riva,30,3.60,0.1200
80015811,Jamp-Calcium,Citrate et Jamp,120,7.20,0.0600
80025304,Jamp-Calcium,Citrate + Jamp,60,3.60,0.0600
80101373,AG-Calcium Cit.D,400 Croq. Angita,60,7.20,0.1200
80000281,Ci-Cal,D 400 Sandoz,60,7.20,0.1200
80003262,Jamp,Calci-Os Jamp,60,7.20,0.1200
80029083,Jamp-Calcium,Citrate + Jamp,60,7.20,0.1200
80027403,Jamp,Rehydralyte Jamp,10,19.50,1.9500
80107417,AG-Magnesium,Gluconate Angita,100,10.88,0.1088
80089349,Bio-Magnesium,Biomed,100,10.88,0.1088
80009539,Jamp-Magnesium,Jamp,100,10.88,0.1088
00555126,Maglucate,Pendopharm,100,10.88,0.1088
80062929,M-Magnesium,Gluconate Mantra Ph.,100,10.88,0.1088
80115982,Opus,Gluconate de Opus,100,10.88,0.1088
80047562,Jamp-Sodium,Phosphate Jamp,20,34.97,1.7485
80106826,AG-K8,Angita,500,20.00,0.0400
80084446,Alta-K8,Altamed,500,20.00,0.0400
00602884,Apo-K,Apotex,1000,74.86,0.0749
02246734,Euro-K,600 Sandoz,500,20.00,0.0400
80013005,Jamp-K,8 Jamp,100,4.00,0.0400
02042304,Micro-K,Paladin,100,7.92,0.0792
80035346,M-K8,L.A. Mantra Ph.,100,4.00,0.0400
80044745,Opus,K-8 Opus,1000,40.00,0.0400
80108882,PRZ,K8 Pharmaris,100,4.00,0.0400
80106713,AG-K20,Angita,500,58.05,0.1161
80026265,Bio-POTASSIUM,K20 Biomed,100,11.61,0.1161
02242261,Euro-K,20 Sandoz,100,11.61,0.1161
80013007,Jamp-K,20 Jamp,100,11.61,0.1161
80040412,K-20,Potassium Altamed,500,58.05,0.1161
80025624,M-K20,L.A. Mantra Ph.,100,11.61,0.1161
80071412,M-K20,Soluble Mantra Ph.,100,19.95,0.1995
80004415,Odan,K-20 Odan,100,11.61,0.1161
80028233,Opus,K-20 Opus,500,58.05,0.1161
80107649,PRZ,K20 Pharmaris,100,11.61,0.1161
02243975,Riva-K,20 SR Riva,100,11.61,0.1161
80033602,Jamp-K,Effervescent Jamp,30,14.28,0.4760
02085992,K-Lyte,WellSpring,30,14.28,0.4760
80023817,Jamp-K-Citrate,Jamp,100,15.45,0.1545
02243768,K-Citra,Seaford,100,15.45,0.1545
80029758,Nebusal,7 % Sterimax,60,53.00,0.8833
00769541,"Solystat Pendopharm 500 ml 52,19 0,1044 40:20 AGENTS CALORIQUES Co. 330 mg",* 02144328 Carnitor Leadiant,90,340.71,3.7857
02258528,Edecrin,Bausch H.,100,30.96,0.3096
00396788,Apo-Furosémide,Apotex,1000,20.90,0.0209
02351420,Furosemide,Sanis,1000,20.90,0.0209
02466759,Mint-Furosemide,Mint,1000,20.90,0.0209
00496723,Pro-Furosemide,Pro Doc,1000,20.90,0.0209
00337730,Teva-Furosemide,Teva Can,100,2.09,0.0209
00362166,Apo-Furosémide,Apotex,1000,32.18,0.0322
02351439,Furosemide,Sanis,1000,32.18,0.0322
02466767,Mint-Furosemide,Mint,1000,32.18,0.0322
02247494,pms-Furosémide,Phmscience,500,16.09,0.0322
00397792,Pro-Furosemide,Pro Doc,1000,32.18,0.0322
00337749,Teva-Furosemide,Teva Can,100,3.22,0.0322
00707570,Apo-Furosémide,Apotex,100,6.54,0.0654
02351447,Furosemide,Sanis,100,6.54,0.0654
02466775,Mint-Furosemide,Mint,100,6.54,0.0654
00667080,Pro-Furosemide,Pro Doc,100,6.54,0.0654
00765953,Teva-Furosemide,Teva Can,100,6.54,0.0654
02224755,Lasix,Spécial SanofiAven,20,52.47,2.6235
02249510,Midamor,AA Pharma,100,31.37,0.3137
02327856,Apo-Hydro,Apotex,500,3.95,0.0079
02425947,Mint-Hydrochlorothiazide,Mint,500,3.95,0.0079
00326844,Apo-Hydro,Apotex,100,1.57,0.0157
02486962,Hydrochlorothiazide,Pro Doc,1000,15.65,0.0157
02360594,Hydrochlorothiazide,Sanis,100,1.57,0.0157
02426196,Mint-Hydrochlorothiazide,Mint,1000,15.65,0.0157
02247386,pms-Hydrochlorothiazide,Phmscience,500,7.83,0.0157
00021474,Teva-Hydrochlorothiazide,Teva Can,100,1.57,0.0157
00312800,Apo-Hydro,Apotex,100,2.17,0.0217
02360608,Hydrochlorothiazide,Sanis,100,2.17,0.0217
02247387,pms-Hydrochlorothiazide,Phmscience,100,2.17,0.0217
00021482,Teva-Hydrochlorothiazide,Teva Can,100,2.17,0.0217
02468948,ACH-Olmesartan,HCTZ Accord,30,9.06,0.3019
02453606,Apo-Olmesartan/HCTZ,Apotex,90,27.17,0.3019
02476487,Auro-Olmesartan,HCTZ AuroPharma,30,9.06,0.3019
02475707,GLN-Olmesartan,HCTZ Glenmark,30,9.06,0.3019
02508273,NRA-Olmesartan,HCTZ Nora,30,9.06,0.3019
02509601,Olmesartan,HCTZ Sanis,90,27.17,0.3019
02319616,Olmetec,Plus Organon,30,30.49,1.0163
02526468,PRZ-Olmesartan,HCTZ Pharmaris,100,30.19,0.3019
02468956,ACH-Olmesartan,HCTZ Accord,30,9.06,0.3019
02443120,Act Olmesartan,HCT Teva Can,30,9.06,0.3019
02453614,Apo-Olmesartan/HCTZ,Apotex,90,27.17,0.3019
02476495,Auro-Olmesartan,HCTZ AuroPharma,30,9.06,0.3019
02475715,GLN-Olmesartan,HCTZ Glenmark,30,9.06,0.3019
02508281,NRA-Olmesartan,HCTZ Nora,30,9.06,0.3019
02509636,Olmesartan,HCTZ Sanis,90,27.17,0.3019
02319624,Olmetec,Plus Organon,30,30.49,1.0163
02526476,PRZ-Olmesartan,HCTZ Pharmaris,100,30.19,0.3019
02468964,ACH-Olmesartan,HCTZ Accord,30,9.06,0.3019
02443139,Act Olmesartan,HCT Teva Can,30,9.06,0.3019
02453622,Apo-Olmesartan/HCTZ,Apotex,90,27.17,0.3019
02476509,Auro-Olmesartan,HCTZ AuroPharma,30,9.06,0.3019
02475723,GLN-Olmesartan,HCTZ Glenmark,30,9.06,0.3019
02508303,NRA-Olmesartan,HCTZ Nora,30,9.06,0.3019
02509628,Olmesartan,HCTZ Sanis,90,27.17,0.3019
02319632,Olmetec,Plus Organon,30,30.49,1.0163
02526484,PRZ-Olmesartan,HCTZ Pharmaris,100,30.19,0.3019
02523795,Jamp,Chlorthalidone Jamp,100,11.21,0.1121
02523809,Jamp,Chlorthalidone Jamp,100,11.80,0.1180
00360279,Chlorthalidone,Apotex,100,12.42,0.1242
02523817,Jamp,Chlorthalidone Jamp,100,12.42,0.1242
02245246,Apo-Indapamide,Apotex,100,7.45,0.0745
02240067,Mylan-Indapamide,Mylan,100,7.45,0.0745
02223678,Apo-Indapamide,Apotex,100,11.82,0.1182
02153483,Mylan-Indapamide,Mylan,100,11.82,0.1182
00888400,Zaroxolyn,SanofiAven,100,16.14,0.1614
00784400,Amilzide,AA Pharma,1000,83.78,0.0838
00613231,Teva-Spironolactone/HCTZ,Teva Can,100,8.58,0.0858
00657182,Teva-Spironolactone/HCTZ,Teva Can,100,22.36,0.2236
00441775,Apo-Triazide,Apotex,100,6.08,0.0608
00532657,Teva-Triamzide,Teva Can,100,6.08,0.0608
02482835,AG-Montelukast,Angita,30,12.69,0.4231
02374609,Apo-Montelukast,Apotex,30,12.69,0.4231
02401274,Auro-Montelukast,AuroPharma,30,12.69,0.4231
02445735,Bio-Montelukast,Biomed,30,12.69,0.4231
02391422,Jamp-Montelukast,Jamp,30,12.69,0.4231
02399997,Mar-Montelukast,Marcan,30,12.69,0.4231
02408643,Mint-Montelukast,Mint,100,42.31,0.4231
02488183,M-Montelukast,Mantra Ph.,30,12.69,0.4231
02379856,Montelukast,Pro Doc,30,12.69,0.4231
02379333,Montelukast,Sanis,100,42.31,0.4231
02382474,Montelukast,Sivem,30,12.69,0.4231
02379236,Montélukast,sodique Accord,30,12.69,0.4231
02522136,NAT-Montelukast,Natco,30,12.69,0.4231
02489821,NRA-Montelukast,Nora,30,12.69,0.4231
02373947,pms-Montelukast,FC Phmscience,30,12.69,0.4231
02398826,Riva-Montelukast,FC Riva,30,12.69,0.4231
02328593,Sandoz,Montelukast Sandoz,100,42.31,0.4231
02238217,Singulair,Organon,30,68.23,2.2743
02389517,Taro-Montelukast,Sun Pharma,30,12.69,0.4231
02355523,Teva,Montelukast Teva Can,30,12.69,0.4231
02377608,Apo-Montelukast,Apotex,30,8.27,0.2758
02514877,Jamp,Montelukast Jamp,30,8.27,0.2758
02442353,Jamp-Montelukast,Jamp,30,8.27,0.2758
02399865,Mar-Montelukast,Marcan,30,8.27,0.2758
02408627,Mint-Montelukast,Mint,30,8.27,0.2758
02379821,Montelukast,Pro Doc,30,8.27,0.2758
02382458,Montelukast,Sivem,30,8.27,0.2758
02522101,NAT-Montelukast,Natco,30,8.27,0.2758
02354977,pms-Montelukast,Phmscience,30,8.27,0.2758
02330385,Sandoz,Montelukast Sandoz,100,27.58,0.2758
02243602,Singulair,Organon,30,42.00,1.4000
02355507,Teva,Montelukast Teva Can,30,8.27,0.2758
02377616,Apo-Montelukast,Apotex,30,9.25,0.3082
02514885,Jamp,Montelukast Jamp,30,9.25,0.3082
02442361,Jamp-Montelukast,Jamp,30,9.25,0.3082
02399873,Mar-Montelukast,Marcan,30,9.25,0.3082
02408635,Mint-Montelukast,Mint,30,9.25,0.3082
02379848,Montelukast,Pro Doc,30,9.25,0.3082
02379325,Montelukast,Sanis,100,30.82,0.3082
02382466,Montelukast,Sivem,30,9.25,0.3082
02522128,NAT-Montelukast,Natco,30,9.25,0.3082
02354985,pms-Montelukast,Phmscience,30,9.25,0.3082
02330393,Sandoz,Montelukast Sandoz,100,30.82,0.3082
02238216,Singulair,Organon,30,46.36,1.5453
02355515,Teva,Montelukast Teva Can,30,9.25,0.3082
02358611,Sandoz,Montelukast Sandoz,30,35.70,1.1900
02247997,Singulair,Organon,30,42.00,1.4000
00545015,Acétazolamide 250,mg AA Pharma,100,13.26,0.1326
02245882,Méthazolamide,AA Pharma,100,49.13,0.4913
02258692,Cosopt,sans préservateur Elvium,60,28.41,0.4735
02240344,Sialor,Phmscience,60,54.00,0.9000
00036323,Lomotil,Pfizer,250,110.33,0.4413
02256452,Jamp-Loperamide,Jamp,120,11.42,0.0952
02225182,Loperamide-2,Pro Doc,500,47.58,0.0952
02228351,pms-Lopéramide,Phmscience,100,9.52,0.0952
02238211,Riva-Loperamide,Riva,100,9.52,0.0952
02132591,Teva-Loperamide,Teva Can,100,9.52,0.0952
02505363,AG-Ursodiol,Angita,100,38.18,0.3818
02426900,GLN-Ursodiol,Glenmark,100,38.18,0.3818
02472392,Jamp-Ursodiol,Jamp,100,38.18,0.3818
02544032,NRA-Ursodiol,Nora,100,38.18,0.3818
02273497,pms-Ursodiol,C Phmscience,100,38.18,0.3818
02515520,Ursodiol,C Sanis,100,38.18,0.3818
02505371,AG-Ursodiol,Angita,100,72.42,0.7242
02426919,GLN-Ursodiol,Glenmark,100,72.42,0.7242
02472406,Jamp-Ursodiol,Jamp,100,72.42,0.7242
02544024,NRA-Ursodiol,Nora,100,72.42,0.7242
02273500,pms-Ursodiol,C Phmscience,100,72.42,0.7242
02515539,Ursodiol,C Sanis,100,72.42,0.7242
02239139,Jamp-Enzyme,Lactase Jamp,100,12.69,0.1269
02239140,Jamp-Enzyme,Lactase Jamp,80,9.75,0.1219
80070358,Jamp-Lactase,Enzyme Jamp,50,16.45,0.3290
80018706,Jamp-Lactase,Enzyme Jamp,80,15.30,0.1913
00263818,Cotazym,Organon,100,18.66,0.1866
00789445,Pancrease,MT 4 Vivus,100,37.96,0.3796
00502790,Cotazym,ECS 8 Organon,500,168.40,0.3368
02200104,Creon 10,Minimicrosphères BGP Pharma,100,27.23,0.2723
00789437,Pancrease,MT 10 Vivus,100,94.93,0.9493
00789429,Pancrease,MT 16 Vivus,100,151.88,1.5188
00821373,Cotazym,ECS 20 Organon,100,88.30,0.8830
01985205,Creon 25,Minimicrosphères BGP Pharma,100,85.07,0.8507
02494639,Creon Minimicrosphères,35 BGP Pharma,100,95.31,0.9531
02230019,Viokace (10 440 USP,unités Nestlé H.S,100,17.03,0.1703
02241933,Viokace (20 880 USP,unités Nestlé H.S,100,34.06,0.3406
02445158,Creon,Minimicrosphères BGP Pharma,1,34.06,34.0600
02552574,ALOG-Doxylamine/,Analog Ph,100,32.01,0.3201
02413248,Apo-Doxylamine/B6,Apotex,100,32.01,0.3201
00609129,Diclectin,Duchesnay,100,127.20,1.2720
02406187,pms-Doxylamine-Pyridoxine,Phmscience,100,32.01,0.3201
00886440,Prochlorazine,AA Pharma,100,16.59,0.1659
00886432,Prochlorazine,AA Pharma,100,20.25,0.2025
02256193,Cesamet,Bausch H.,50,155.13,3.1026
